"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__edited","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__width","messages__height","messages__reply_to_message_id","messages__text__type","messages__text__text","messages__photo","messages__forwarded_from","messages__text__href","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__sticker_emoji"
"","","","","","","","","✅ Приходите на участок с паспортом. \n\n✅ Вас находят в списке избирателей. \n\n✅ Ставите подпись и ДАТУ (09.08.2020)❗️\n \n✅ Вам дают бюллетень. Проверяете целостность бюллетеня. Проверяете 2 подпись с обратной стороны и, чтобы не было точки в окошках других кандидатов. \n\n✅ Заходите в кабину для голосования.\n\n✅ Делаете выбор. Фотографируете.\n\n✅ Переворачиваете и фотографируете (у вас будет 2 фото, бюллетень со всех сторон)\n\n✅ Складываете гармошкой. Бросаете в урну для голосования.\n\n🟢Не забываем улыбаться и напоминать членам комиссий об ответственности за фальсификации на выборах. Статья 192 УК РБ, до 5 лет.\n\n🔴В случае, если что-то из выше перечисленных пунктов не соответствует - пишите жалобу или вызывайте милицию.\n\n","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","","https://t.me/MKBelbot","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ","","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","",""
"","","","9598","message","2020-08-09T05:10:22","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Гугл потерял связь с IPv6 в Беларуси:\n«Официальное письмо одному из клиентов Google на работу. Соединения по IPv6 для одного из наших провайдеров в РБ»","2020-08-09T05:15:20","","","","","","1153","380","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9599","message","2020-08-09T05:11:09","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","У кого был включён сервис ","","","","","","","1080","508","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","link","1.1.1.1","","","","","","","","","","","","","",""
"","","","","","","",""," - отключайте полностью, если ещё не отключили.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9600","message","2020-08-09T05:30:28","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","591","1280","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9601","message","2020-08-09T05:30:28","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","591","1280","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9602","message","2020-08-09T05:30:28","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","591","1280","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9603","message","2020-08-09T05:30:28","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Как голосуют люди с подтвержённым Ковидом. И да, пожалуйста, держите дистанцию и носите маски сегодня. Берегите себя.","","","","","","","591","1280","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9604","message","2020-08-09T05:36:09","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Тут прям мягко намекнули кто устроил «веселье» с интернетом в Беларуси, а вы на мобильных операторах злость срываете. \n\nСпросите у монополистов, которые контролируют весь международный интернет-трафик - БТК и НЦОТ!","2020-08-09T05:36:15","","","","","","828","608","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9605","message","2020-08-09T05:58:53","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Знающие люди говорят что похоже на правду, к сожалению. \n\n\n«В общем консилиум провел анализ заболевания интернета пока видимо следующее. \nИнтернет это сеть состоящая из других сетей. Дабы трафик и информация проходила между разными сегментами и подсетями на уровне протоколов происходит анонс сетей, подсетей, узлов в сетях, на базе этого формируются маршруты, дабы потом не было необходимости определять как достигать определенных узлов в сетях. Когда сеть неспешно разрастается - это происходит без проблем и по сути незаметно.\nВ районе 8 утра в существующую инфраструктуру беларуского сегмента интернета засунули еще одну сеть (скорее засовывали в течении недели по ночам, а тут уже непосредствнно собрали в кучу) поверх всех существующих. Из-за чего все везде совсем упало, но потом отпустило. Это был переанонс узлов подсетей и формирование маршрутов по новой. Так как узлов много - на это потребовалось время.\nНа базе сформированных маршрутов видимо происходит фильтрация трафика, но точечно это не возможно - сразу кусками режут ибо это не полноценный dpi, а колхозная поебень (делают они, а стыдно мне). \nВ общем и целом это напоминает последствия от обрубания и перезапуска интернета во имя чебурнета, который в рашке мусолилились в медийке некоторое время назад.\nЧто дальше?\nВидимо будут активно откусывать исходя из маршрутов куски интернета дабы понять, что можно, а что нельзя. Это не dpi с расшифоровкой трафика. Если сравнить с обычными дорогами - это пьяный гаишник который раскидывает шипы на случайных дорогах дабы выполнить план по поимке, при чем груз не досматривает и кого тормозить ему не важно - главное для галочки не дать проехать. Вообще vpn возник не ради анонимизации трафика, это побочный эффект, но именно средствами vpn подобное обходиться без проблем. Просто вместо больших и крупных попсовых сервисов надо переходить на менее популярные дабы маршруты на их сервера не были такими заезженными и палевными.\nНо да это рубильник. Ибо эта сеть висит над всеми нашими и она может вести себя как файервол (крайне колхозный и топорный). По сути можно просто не дать трафику уходить из страны. \nДля внутренних ресурсов полагаю это не значит ничего - для их душения уже есть давно другие более примитивные методы.\nМогу ошибаться, но пока выглядит как-то так.»","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9606","message","2020-08-09T06:16:05","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","И на всех парах, под звуки сигналящих авто Лукашенко выехал из Минска (после того как проголосовал).","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","8","800","1264","","","","","","","","","","","","","","","","",""
"","","","9607","message","2020-08-09T06:51:45","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Неизвестные напали на 3 человек на Ул.Интернациональной:\n-вы кто такие?\n-журналисты из Москвы\n\nТут ","2020-08-09T07:05:33","","","","","","960","838","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","видео","","","https://t.me/nexta_live/5394","","","","","","","","","","",""
"","","","","","","","",".\n\nОбновлено. Задержаны журналисты Дождя.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9608","message","2020-08-09T06:56:14","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Я боюсь представить, что будет вечером возле участков.","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","6","720","1280","","","","","","","","","","","","","","","","",""
"","","","9609","message","2020-08-09T07:28:25","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Кто-то обосрался от страха. И это не народ Беларуси. \n\nЕдут по кольцу в сторону Партизанского проспекта. \n\n","2020-08-09T07:29:32","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","link","https://t.me/nexta_live/5402","","","","","","","","","","","","","",""
"","","","9611","message","2020-08-09T07:33:25","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Дорогие читатели. Сайт KYKY недоступен. Видимо, мы с вами кому-то сильно мешаем) Пока мы разбираемся в ситуации, новости будем постить в соцсети. Берегите себя и свои голоса❤️","","","","","","","","","","","","","Кулуары KYKY","","","","","","","","","","","",""
"","","","9612","message","2020-08-09T07:54:42","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Да, действительно, проехав по МКАД колонна свернула на Партизанский проспект, в сторону центра Минска","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","39","720","1280","9609","","","","","","","","","","","","","","","",""
"","","","9613","message","2020-08-09T08:00:29","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","По сайтами СМИ в Беларуси ситуация следующая: \n\n","2020-08-09T08:07:30","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","mention","@kyky_org","","","","","","","","","","","","","",""
"","","","","","","",""," и ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","mention","@naviny_by","","","","","","","","","","","","","",""
"","","","","","","",""," - «выключены» сайты полностью. Нет доступа из других стран тоже\n\n","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","mention","@onlinerby","","","","","","","","","","","","","",""
"","","","","","","","",", ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","mention","@tutby_official","","","","","","","","","","","","","",""
"","","","","","","",""," - блокируются, доступны если пользоваться работающими ВПН  (пока нормально себя показал только ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","Psiphon","","","https://www.psiphon3.com/ru/index.html","","","","","","","","","","",""
"","","","","","","","",")\n\n","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","mention","@nashaniva","","","","","","","","","","","","","",""
"","","","","","","",""," - показывает что лежит(Error 525, SSL handshake failed)\n\nПост будет обновляться. Репостите и подписывайтесь на телеграм-каналы независимых СМИ, им нужна поддержка сейчас!","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9614","message","2020-08-09T08:15:32","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Грузовики замечены на Карла Маркса по дороге к Администрации арезидента.","2020-08-09T08:16:45","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","20","720","1280","9612","","","","","","","","","","","","","","","",""
"","","","9615","message","2020-08-09T08:25:57","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Телеграм для новостей от команды: ","","","","","","","618","549","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","mention","@votebelarus2020","","","","","","","","","","","","","",""
"","","","9616","message","2020-08-09T08:48:02","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","По сообщениям очевидцев они тоже направились к зданию Администрации президента","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","11","720","1280","9614","","","","","","","","","","","","","","","",""
"","","","9617","message","2020-08-09T08:55:03","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Ситуация на 15.50 в Минске следующая:\n\n1. Вокруг администрации президента и дома правительства собрали военных со щитами и силовиков, на улицах замечена военная техника и грузовики с колючей проволокой. Некоторые постили видео с танками на платформах - это фейк, подтверждения не было.\n\n2. Въезд в Минск открыт, выборочно ","2020-08-09T08:58:13","","","","","","1009","594","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","проверяют","","","https://t.me/motolkohelp/9590","","","","","","","","","","",""
"","","","","","","",""," машины/документы, останавливают автобусы на 5-15 минут для проверки пассажиров. Но блокирования города нет\n\n3. Большие проблемы с интернетом, но, пока будет работать внешний канал - телеграм будет работать до последнего. \n\n4. В регионах тишина, судя по всему все силы бросили на центр Минска сейчас.\n\n5. Продолжаются ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","аресты","","","https://t.me/motolkohelp/9607","","","","","","","","","","",""
"","","","","","","",""," журналистов и ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","блокировки","","","https://t.me/motolkohelp/9613","","","","","","","","","","",""
"","","","","","","",""," сайтов. Но из-за проблем с интернетом сложно собрать всю информацию воедино.\n\n6. Пока работает ВПН от ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","link","https://www.psiphon3.com/ru/index.html","","","","","","","","","","","","","",""
"","","","9618","message","2020-08-09T08:55:03","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","777","614","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9619","message","2020-08-09T08:55:03","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","998","575","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9620","message","2020-08-09T08:55:03","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","1043","615","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9621","message","2020-08-09T08:55:03","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","1114","634","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9622","message","2020-08-09T09:04:35","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Кажется, основные силы карателей сегодня будут направлены на защиту резиденций и правительственных зданий. Вот такая картина, например, на улице Энгельса возле Администрации президента.","","","","","","","1280","960","","","","(File not included. Change data exporting settings to download.)","NEXTA Live","","","","","","","","","","","",""
"","","","9623","message","2020-08-09T09:04:35","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","920","548","","","","(File not included. Change data exporting settings to download.)","NEXTA Live","","","","","","","","","","","",""
"","","","9624","message","2020-08-09T09:18:52","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","На въезде в Минск с Могилёвской трассы многокилометровый затор. Вероятно связан с выборочной ","2020-08-09T10:27:18","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","46","464","848","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","проверкой","","","https://t.me/motolkohelp/9590","","","","","","","","","","",""
"","","","","","","",""," гаи и военными.\n\nОбновлено в 17.25: «На могилевке въезд в Минск никаких военных нет, только что оттуда. Одна машина ГАИ сразу за м1 высматривает, вторая перед свалкой. Затор был из-за ДТП в левой полосе не доезжая сосен»","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9625","message","2020-08-09T09:33:33","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","А, вот как выглядели фашисты? Правда тогда был Гитлер. Помните, Лукашенко про него как-то хорошо отзывался, мол, не всё так плохо при гитлере было. В 2020 году мы это видимо смогли увидеть. \n\n\n","2020-08-09T09:33:55","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","link","https://t.me/nexta_live/5452","","","","","","","","","","","","","",""
"","","","9626","message","2020-08-09T09:47:38","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Паша Белоус(владелец магазина ","2020-08-09T09:53:34","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","SYMBAL.BY","","","https://t.me/symbalby","","","","","","","","","","",""
"","","","","","","","",") написал:\n«Мяне спынілі супрацоўнікі ДАІ Валожынскага раёна каля вёскі Суднікі.\n\nЕхаў на участак галасаваць. Зараз вязуць на праверку алкагольнага стану ў Валожын. Ціпа ёсць падазрэнні ў іх што я п’яны.»","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9627","message","2020-08-09T10:25:04","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Сообщают что людей не пускают на площадь Независимости в Минске:\n«На выходе из перехода на площадь независимости стоят два мента, всех разворачивают, говорят проход на площадь запрещен». \n\nВозможно, причина на фото","2020-08-09T10:25:17","","","","","","622","1280","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9628","message","2020-08-09T10:25:04","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","622","1280","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9629","message","2020-08-09T10:25:04","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","622","1280","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9630","message","2020-08-09T10:25:04","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","622","1280","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9631","message","2020-08-09T10:25:04","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","622","1280","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9632","message","2020-08-09T12:55:07","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Слухи про борт EW-301PJ что вылетел из Минска. \n\nЭто бывший самолёт Чижа, используется топами типа Нефтехима. Конечная точка - Бодрум, Турция. Код - чартерный.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9633","message","2020-08-09T13:08:58","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Метро перекрывают. Известно о том, что поезда не останавливаются на:\nПлощадь Ленина и Октябрьская. Купаловская, Немига, Фрунзенская Молодежная.","2020-08-09T13:09:31","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9634","message","2020-08-09T13:13:20","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","","","","bold","Предварительные данные государственного экзит-пола","","Работаем с Пушкиным!","","","","","","","","","","","",""
"","","","","","","","",":\n","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","bold","\n","","","","","","","","","","","","","",""
"","","","","","","","","Александр Лукашенко — 79,7%,\nСветлана Тихановская — 6,8%, \nАнна Канопацкая — 2,3%, \nАндрей Дмитриев — 1,1%, \nПротив всех — 9,2%.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9635","message","2020-08-09T13:15:24","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Беларусы в Москве остаются возле посольства. Полиция не знает что делать.","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","17","720","1280","","","","","","","","","","","","","","","","",""
"","","","9636","message","2020-08-09T13:18:50","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Жители Новой Боровой собираются на районе, хотят узнать результаты выборов на своём участке","","","","","","","1280","438","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9637","message","2020-08-09T13:22:39","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Пользователи пишут, что возле некоторых участков после закрытия собираются люди.\n\nЕрмошина рассказала, что на некоторых участках в Минске голосование продлилось даже после 20.00, чтобы все смогли проголосовать.","","","","","","","720","488","","","","(File not included. Change data exporting settings to download.)","TUT.BY новости","","","","","","","","","","","",""
"","","","9638","message","2020-08-09T13:23:17","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Присылайте фото в чат ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","mention","@minsk_new","","","","","","","","","","","","","",""
"","","","","","","","",", если люди ждут результатов выборов возле своих участковых комиссий: ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","link","https://t.me/minsk_new/302226","","","","","","","","","","","","","",""
"","","","9639","message","2020-08-09T13:34:42","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Люди приходят на свои избирательные участки в ожидании резульатов выборов. Фото из ","","","","","","","1280","960","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","mention","@minsk_new","","","","","","","","","","","","","",""
"","","","9640","message","2020-08-09T13:34:42","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","1280","960","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9641","message","2020-08-09T13:34:42","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","960","1280","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9642","message","2020-08-09T13:34:43","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","1280","960","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9643","message","2020-08-09T13:34:43","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","1280","720","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9644","message","2020-08-09T13:34:43","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","960","1280","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9645","message","2020-08-09T13:34:43","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","1280","960","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9646","message","2020-08-09T13:58:23","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Экзит-пол в Вильнюсе. \n\nВ Москве следующие данные были:\nВсего проголосовало: 3788\n\nТихановская - 2972 - 78,5%\nЛукашенко - 229 - 6%\nДмитриев - 23 - 0,6%\nЧеречень - 21 - 0,6%\nКанопацкая -22 - 0,6%\nИспортил - 1 - 0%\nОтказ от ответа - 443 - 11,7%\nПротив всех - 75 - 2%","2020-08-09T13:59:10","","","","","","960","766","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9647","message","2020-08-09T14:13:36","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","В Могилеве у ТЦ «Атриум» задержана журналист ","","","","","","","","","","","","","TUT.BY новости","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","",""
"","","","","","","",""," Анжелика Василевская. Также в Гродно задержана наша коллега Ольга Комягина.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9648","message","2020-08-09T14:17:33","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Начинают перекрывать дороги к стеле: ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","link","https://t.me/minsk_new/302577","","","","","","","","","","","","","",""
"","","","","","","","","\n\nТем временем весь Минск гудит, слышно даже из бункера, думаю.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9649","message","2020-08-09T14:25:15","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Затрыманні адбываюцца на праспекце Пераможцаў. Чуваць крыкі """"Ганьба! Фашысты! Сабакі!"", паведамляе карэспандэнт Нашай Нівы.","","","","","","","","","","","","","Наша Нiва","","","","","","","","","","","",""
