"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text__type","messages__text__text","messages__text","messages__text__href","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__reply_to_message_id","messages__edited","messages__actor","messages__actor_id","messages__action","messages__message_id"
"","","","","","","","","","","","",""," для банков по вкладам за всё время. Многие банки находятся на грани банкротства. Именно для этого диктатор решил выпросить подачку, ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","чтобы оттянуть крах всей финансовой системы хотя бы на октябрь","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",".\n\n«","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","Не случайно упомянул кредит, который Россия в ближайшее время планирует предоставить Беларуси, надеюсь, что это соответствующим образом отразится и на финансовых рынках","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","», — вот такие слова Путина и объясняют всю суть манёвра с кредитом. Стоит понимать, что российские кредиты просто так не даются. В ближайшее время Лукашенко скорее всего начнёт внушительную распродажу государственных активов. А возврат долгов попытаются произвести из кармана простых белорусов.\n\n«","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Я хочу напомнить Владимиру Путину: что бы вы ни приняли и о чем бы вы ни договорились во время встречи в Сочи — это не будет иметь законной силы","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","», — именно эти слова избранного президента Светланы Тихановской имеют законную силу.\n\nРоссиянам стоит помнить,  такую поддержку Путин оказывает не «братскому белорусскому народу», а сумасшедшему диктатору, который сам этот народ и топит в крови. Простые белорусы никогда этого не простят. Все долги и кредиты возвращать должен лично Лукашенко и его прикорытники за свой счёт. В ближайшее время мы ещё раз напомним про ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","экономический фронт борьбы","","https://telegra.ph/VASHI-PERSONALNYE-SANKCII-PROTIV-DIKTATORA-EGO-SILOVIKOV-I-POSOBNIKOV-09-02","","","","","","","","","","","",""
"","","","","","","","","","","","","",", который должен сохранить ваши деньги и уберечь их от лап режима.","","","","","","","","","","","","",""
"","","","11132","message","2020-09-14T11:00:07","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1000","563","bold","Сегодня состоялась встреча премьер-министра Польши с представителями парламентских клубов и кругов Конфедерации. Речь шла о политической ситуации в Беларуси\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Мы представили отчет о реализации программы „Солидарность с Беларусью“. На реализацию выделено 50 млн злотых. Уже помощь в Польше получило более 40 человек. Это люди, которые стали жертвами жестких разгонов во время мирных акций протестов в Беларуси»","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",", — сообщил глава Канцелярии премьер-министра Михал Дворчик.\n\nТакже Дворчик рассказал о плане экономической помощи для Беларуси премьер-министра Матеуша Моравецкого — от имени Вышеградской группы.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Это серия преимущественно экономических решений, которые будут представленны в случае проведения новых выборов»,","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," — пояснил министр Дворчик.","","","","","","","","","","","","",""
"","","","11133","message","2020-09-14T12:23:54","NEXTA Live","10003210496","","1920","1080","","","Улицу Неманскую, что на Каменной горке, начали патрулировать неизвестные мужчины в камуфляжной одежде. При этом они почти наверняка не имеют отношения к силовым структуром, но зато активно подчиняются неизвестным в штатском. \n\nЛукашенко начинает создавать дружины из различных асоциальных элементов?","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","106","","","","","",""
"","","","11134","message","2020-09-14T13:59:11","NEXTA Live","10003210496","","","","","","Дмитрий Песков, пресс-секретарь Путина, рассказал о некоторых итогах переговоров:\n\n— Путин признаёт ","","","","","","","","11131","","","","",""
"","","","","","","","","","","","bold","Лукашенко легитимным ","","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","(но открыто говорил о реформе конституции в Беларуси)","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",";\n— из полутора миллиардов долларов нового кредита какая-то ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","часть кредита пойдёт на оплату предыдущих кредитов","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",";\n— российские ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","войска, которые прибыли на учения","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",", сразу после окончания учебных манёвров вернутся на свои базы;\n— обсуждались ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","цены на газ и нефть","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",", беседа была «конструктивной».","","","","","","","","","","","","",""
"","","","11135","message","2020-09-14T14:58:37","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1184","1108","","","Эми Ли, вокалистка легендарной рок-группы Evanescence, поддержала протестующих белорусских девушек и женщин!\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«То, что сейчас происходит в Беларуси, невероятно вдохновляет. Жгите, сёстры!»","","","","","","","","","","","","","",""
"","","","11136","message","2020-09-15T04:24:58","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","700","450","bold","Российского политика Алексея Навального отключили от искусственной вентиляции лёгких\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Состояние Алексея Навального продолжает улучшаться. Об этом заявила берлинская клиника «Шарите», где сейчас","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link"," политик проходит лечение","","https://t.me/nexta_live/10319","","","","","","","","","","","",""
"","","","","","","","","","","","","",". Навального успешно отключили от ИВЛ. Теперь он может на короткое время вставать с больничной койки.","","","","","","","","","","","","",""
"","","","11137","message","2020-09-15T05:25:51","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","679","384","","","Глава дипломатии ЕС Жозеп Боррель заявил, что не считает Александра Лукашенко легитимным президентом Беларуси. Данное заявление политик сделал сегодня во время своего выступления в Европарламенте.","","","","","","","","","2020-09-15T05:42:14","","","",""
"","","","11138","message","2020-09-15T05:57:13","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","750","736","bold","Алексей Навальный у себя в Instagram выложил первый пост после отравления\n\n","","","","","","","","","11136","","","","",""
"","","","","","","","","","","","italic","«Я все ещё почти ничего не умею, но вот вчера смог целый день дышать сам. Вообще сам. Никакой посторонней помощи, даже простейший вентиль в горле не использовал. Очень понравилось. Удивительный, недооценённый многими процесс. Рекомендую»","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," — ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","написал политик","","https://www.instagram.com/p/CFJwV0Dly0Z/","","","","","","","","","","","",""
"","","","","","","","","","","","",""," под своим фото.","","","","","","","","","","","","",""
"","","","11139","message","2020-09-15T06:28:52","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","940","788","","","Таможня обратилась к издательству «Янушкевич» с просьбой письменно подтвердить тот факт, что в книге «Гарри Поттер и Тайная комната» нет ","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«призывов к свержению существующей власти в Республике Беларусь»","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",".\n\nНепонятно, как на этот запрос реагировать, но появилось желание перечитать «Поттера».","","","","","","","","","","","","",""
"","","","11140","message","2020-09-15T06:59:04","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","961","bold","На белорусско-украинской границе застряли более полутора тысяч хасидов\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Хасиды-паломники ежегодно встречают Рош ха-Шану (еврейский Новый год) в украинском городе Умань. В этом году попасть в Украину им не удалось в связи с введением в стране карантина из-за коронавируса, поэтому многие из них направились в открытую для всех Беларусь, так как с белорусской стороны пересечение границ на выезд из страны не ограничено. \n\nОднако со вчерашнего вечера был полностью приостановлен пропуск граждан и транспортных средств с белорусской стороны «Новая Гута» на въезд в Украину в пункте пропуска «Новые Яриловичи». Не пропускают даже дальнобойщиков.\n\nКак сообщают ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","TUT.BY","","https://news.tut.by/society/700542.html?tg","","","","","","","","","","","",""
"","","","","","","","","","","","",""," очевидцы, чтобы скрасить часы ожидания, люди на границе поют и танцуют.\n\nСреди хасидов имеется около 50 маленьких детей и более десятка паломников в преклонном возрасте.\n\nФото: ","","","","","","","","","","","","",""
"","","","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","",""
"","","","11141","message","2020-09-15T06:59:04","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","961","","","","","","","","","","","","","","","",""
"","","","11142","message","2020-09-15T06:59:04","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","961","","","","","","","","","","","","","","","",""
"","","","11143","message","2020-09-15T06:59:04","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","961","","","","","","","","","","","","","","","",""
"","","","11144","message","2020-09-15T07:46:03","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","290","174","","","❗️КиберПартизаны «положили» сайт Госзакупок (","","","","","","","","","","","","",""
"","","","","","","","","","","","link","goszakupki.by","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",") и Беларуской универсальной товарной биржи (","","","","","","","","","","","","",""
"","","","","","","","","","","","link","butb.by","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",").","","","","","","","","","","","","",""
"","","","11145","message","2020-09-15T07:46:30","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","640","426","bold","12 белорусских IT-компаний решили перенести свою деятельность в Латвию\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Компании планируют перевезти 470 человек, в основном представителей руководства и ключевых специалистов.\n\n116 белорусских компаний и частных лиц сейчас проходят консультации о переносе деятельности в Латвию. В этих компаниях работают около четырех тысяч человек. \n\nТакое решение связано с политической ситуацией в Беларуси.","","","","","","","","","","","","",""
"","","","11146","message","2020-09-15T07:51:14","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","681","420","bold","Сегодня в Верховной Раде Украины прошло голосование за проект постановления о непризнании выборов президента Беларуси\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","За - проголосовали 228 из 345 депутатов. Таким образом, Верховная Рада Украины не признала белорусские выборы.\n\nКроме этого, Украина присоединяется к позиции ЕС по санкциям против Беларуси.","","","","","","","","","","","","",""
"","","","11147","message","2020-09-15T08:00:01","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","960","bold","Всё когда-либо заканчивается! \n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","\nСтойкости и смелости белорусскому народу желают российские уличные художники. Плакаты появились на улицах Екатеринбурга в рамках партизанского фестиваля уличного искусства «Карт-бланш».","","","","","","","","","","","","",""
"","","","11148","message","2020-09-15T08:00:02","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","960","","","","","","","","","","","","","","","",""
"","","","11149","message","2020-09-15T08:00:02","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","","","","",""
"","","","11152","message","2020-09-15T11:09:48","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","960","1280","bold","Повесил на окно БЧБ? Получи протокол!\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Руководству коммунальных унитарных предприятий ЖКХ Минска поступило письмо с просьбой о предоставлении информации об использовании во дворах города ","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«незарегистрированной символики»","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",". В документе сказано, что в случае поступления жалоб граждан либо при самостоятельном обнаружении работниками ГП ЖЭК или КУП ЖКХ «незарегистрированной символики» на балконах, лоджиях, жилых помещениях, не позднее дня обнаружения, необходимо сообщить об этом в администрацию района. \n\nЗа использование данной символики грозит административный процесс по части 2 статьи 21.14., 21.16., 23.56 КоАП. \n\nТо есть, облагораживание дворов национальной символикой теперь будет рассчитываться «властями», как нарушение правил благоустройства и содержания населенных пунктов, а также нарушением правил пользования жилыми помещениями.\n\nИнтересно, а отсутствие капремонтов в подъездах минских домов подходит под категорию «благоустроенных»?","","","","","","","","","","","","",""
"","","","11153","message","2020-09-15T11:09:48","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","","","","",""
"","","","11154","message","2020-09-15T11:09:49","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","","","","",""
"","","","11155","message","2020-09-15T11:09:49","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","","","","",""
"","","","11156","message","2020-09-15T11:09:50","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","","","","",""
"","","","11157","message","2020-09-15T11:09:50","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","","","","",""
"","","","11159","message","2020-09-15T13:19:41","NEXTA Live","10003210496","","720","1280","","","❗️СРОЧНО❗️\nВстречаем День солидарности! \nНа ГродноАзот остановлено два цеха:\n🔥 Карбамид 4\n🔥 Амиак 3\n\nЕсли их не запустить в течение двух дней — будет остановлен весь завод.\n\n— Чтобы вы понимали. Это уже ползавода остановилось. И процесс запуска может сильно затянуться. Если вообще состоится, — говорит сотрудник завода.\n\n🏭 16 СЕНТЯБРЯ — ДЕНЬ СОЛИДАРНОСТИ 🏭\nМы видим, что больше всего власть боится забастовок. Боится остановки предприятий. Боится потерять контроль.\n\nНо если они боятся — значит, мы на верном пути. \n\nПризываем всех проявить солидарность с бастующими рабочими Беларуси и остановить работу 16 сентября.\n\nПередайте информацию дальше.\nСпасибо.","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","40","","","","","",""
"","","","11160","message","2020-09-15T13:19:41","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","1280","","","","","","","","","","","","","","","",""
"","","","11161","message","2020-09-15T13:29:51","NEXTA Live","10003210496","","1280","720","","","Горит аварийный факел над Гродно Азот","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","12","11160","","","","",""
"","","","11162","message","2020-09-15T15:08:45","NEXTA Live","10003210496","","1080","1920","","","Белорусы продолжают выходить в свои дворы, знакомиться и объединяться!","","NEXTA","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","24","","","","","",""
"","","","11163","message","2020-09-15T15:08:46","NEXTA Live","10003210496","","2288","1080","","","","","NEXTA","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","12","","","","","",""
"","","","11164","message","2020-09-15T15:08:46","NEXTA Live","10003210496","","720","1280","","","","","NEXTA","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","6","","","","","",""
"","","","11165","message","2020-09-15T15:08:47","NEXTA Live","10003210496","","720","1280","","","","","NEXTA","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","2","","","","","",""
"","","","11166","message","2020-09-15T15:08:47","NEXTA Live","10003210496","","1920","1080","","","","","NEXTA","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","6","","","","","",""
"","","","11167","message","2020-09-15T15:08:47","NEXTA Live","10003210496","","320","568","","","","","NEXTA","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","21","","","","","",""
"","","","11168","message","2020-09-15T15:08:48","NEXTA Live","10003210496","","720","1280","","","","","NEXTA","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","25","","","","","",""
"","","","11169","message","2020-09-15T15:08:48","NEXTA Live","10003210496","","1920","1080","","","","","NEXTA","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","30","","","","","",""
"","","","11170","message","2020-09-16T03:02:32","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","960","1280","bold","Лукашенко получит «гарантии безопасности», если уйдет «мирно». Об этом заявила президент Беларуси Светлана Тихановская.\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","«Конечно, если [Лукашенко] мирно уйдет, по-человечески, то такая вероятность есть. Можно даже сказать уверенность. Лично я должна говорить за всех людей. И мнение всех людей будет учитываться в этом вопросе», – об этом Тихановская сказала в интервью украинскому изданию ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","«Левый берег»","","https://lb.ua/world/2020/09/15/466030_svetlana_tihanovskaya_esli.html","","","","","","","","","","","",""
"","","","","","","","","","","","","",".","","","","","","","","","","","","",""
"","","","11171","message","2020-09-16T03:25:26","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","600","400","bold","«Нерушимое братство». Россия объявила об очередных военных учениях на территории Беларуси\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","По данным Минобороны РФ, учения под названием «Нерушимое братство-2020» состоятся 12-16 октября в рамках Организации договора о коллективной безопасности (ОДКБ). В учениях примут участие военные из Беларуси, России, Армении, Казахстана, Кыргызстана и Таджикистана.\n\nВ сообщении оборонного ведомства РФ говорится, что на белорусском полигоне «Лосвида» (Витебская область) военные отработают подготовку и ведение «миротворческой операции».\n\nФото: ","","","","","","","","","","","","",""
"","","","","","","","","","","","link","Mod.gov.kz","","","","","","","","","","","","","",""
"","","","11172","message","2020-09-16T03:38:06","NEXTA Live","10003210496","","","","text_link","​​","","https://telegra.ph/file/a03d45dff69e31b2a209f.jpg","","","","","","","","2020-09-16T05:37:34","","","",""
"","","","","","","","","","","","bold","НИКТО НЕ ОСТАНЕТСЯ АНОНИМНЫМ\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," \n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Мы предупреждали: спрятаться под балаклавами не получится. ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Лукашенко, Караев, Шейман и кровавые генералы превращают силовые органы в анонимные бандформирования, прямо приказывают им действовать за рамками закона, беспределить. Война объявлена мирным гражданам Беларуси. Но страдают в ней и сами силовики, которых превращают в преступников – а много кто, идя на службу, не подписывался на криминал. Народ непременно найдет способ, как от преступников защищаться.\n \nМы уже писали, что у нас теперь есть база данных МВД, добытая кибер-партизанами. И что ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","у милиционеров есть время до конца недели, прежде чем мы начнем ее обнародовать","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",". (ВАЖНО: если вы работали в МВД, уволились в период августа-сентября или увольняетесь сейчас, просьба срочно скинуть в бот ","","","","","","","","","","","","",""
"","","","","","","","","","","","mention","@militsiya_s_narodom_bot","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," фото справки о прохождении службы, чтобы мы вас исключили из базы. Сотни ваших коллег уже сделали это). Увольняйтесь, чтобы не принимать преступления режима на себя. Когда придет час расплаты, самые глупые и упоротые из силовиков будут что-то мямлить про выполнение приказа, но слушать их будет уже некому.\n \n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","12 ОМОНОВСКИХ ОФИЦЕРОВ, НА ЧЬИХ РУКАХ КРОВЬ БЕЛОРУСОВ\n","","","","","","","","","","","","","",""
