"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__edited","messages__photo","messages__width","messages__height","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__reply_to_message_id"
"","","","","","","","","","bold","Что делать, если Телеграм работает плохо, а фото и видео не грузятся вовсе? Инструкция.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","Специально для случаев, когда происходят блокировки, существует канал с прокси. Вдаваться в технические описания не будем. Просто заходим, выбираем в списке сервер (или несколько), у которых порт 443 (желательно) и нажимаем кнопку Connect. \n\nТелеграм начнёт работать полноценно, с загрузкой медиафайлов. Также появится значок со щитом вверху, а если на него нажать — можно увидеть состояние серверов. Если пинг больше 100мс — лучше выбрать другие, а эти потом удалить долгим нажатием на экран.\n\n","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","t.me/ProxyMTProto","","","","","","","","","","","","","","","","","",""
"","","","8002","message","2020-08-09T03:31:12","Беларусь головного мозга","9657985200","У посольства в Москве уже собралась очень длинная очередь.","","","","","","720","1280","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","4","","","","","","",""
"","","","8003","message","2020-08-09T03:37:37","Беларусь головного мозга","9657985200","","","","","","","","","","","","","","","Неполадки с интернетом.","False","41277","Всё отлично работает, фото и видео быстро загружаются.","0","False",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Проблемы с доступом к разным приложениям, фото и видео не загружаются.","0","False",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Проблемы с подключением ко всем приложениям, текст в телеграме едва загружается.","0","False",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Наблюдаются временные проблемы с подключением, которые проходят через определенное время.","0","False",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Иной вариант.","0","False",""
"","","","8004","message","2020-08-09T03:42:01","Беларусь головного мозга","9657985200","В сети появилось видео, как  бобруйский рабочий в знак протеста остановил производство. Предприятие не называется, но судя по антуражу это  ЗАО ""Бобруйский бровар"".\n","","","","","","1024","768","Бобруйск Online","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","18","","","","","","",""
"","","","","","","","","","hashtag","#Выборы2020","","","","","","","","","","","","","","","","","",""
"","","","8006","message","2020-08-09T04:38:17","Беларусь головного мозга","9657985200","Есть информация, что к 14:00 подключение к интернету станет ещё более сложным по всей стране. Так что если у вас есть отложенные дела в сети, то лучше их сделать сейчас. \nНе забывайте, что информацию о ситуацию вы можете присылать нам в ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@BGMnews_bot","","","","","","","","","","","","","","","","","",""
"","","","","","","","",". Если проблема с связью, то пишите СМС по номеру ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+37062509621","","","","","","","","","","","","","","","","","",""
"","","","8007","message","2020-08-09T05:08:53","Беларусь головного мозга","9657985200","Сообщение от подписчика: \n\nЖена сходила проголосовать, пошёл вместе с ней. Ждал её на улице. Сначала ей подсунули беллютень с точкой. Потребовала другой. Выдали другой. Вроде норм. Проголосовала.  \nНо самый прикол был в том, что я, иностранец, тоже был в списках. На замечание моей жены, по поводу иностранного гражданина ответили, что списки подавал ЖЭС и вычёркивать меня они не имеют права.\n\nСамые честные и прозрачные выборы.","","","","","","","","","","","","","","","","","","","",""
"","","","8008","message","2020-08-09T05:49:51","Беларусь головного мозга","9657985200","Тут стрим с участков. Онлайн:\n\n","","","","","","","","Выборы. Беларусь","","","","","","","","","","","",""
"","","","","","","","","","link","https://www.youtube.com/watch?v=CCVMCvh_vSg&feature=youtu.be","","","","","","","","","","","","","","","","","",""
"","","","8009","message","2020-08-09T05:51:26","Беларусь головного мозга","9657985200","Ермошина: опросы, навязанные избирателям через Telegram-каналы, - это фальшивка. \n\nФальшивка – это ""выборы"". К нам поступает огромное количество информации про испорченные бланки для голосования, а также спекуляций по типу невыставленых  дат на листах. \n\nНапоминаем, если вы увидели каку-либо точку в своем бланке - требуйте замены бланка. Если у вас не стоит дата - требуйте или сами поставьте таковую.","","","","","","","","","","","","","","","","","","","",""
"","","","8010","message","2020-08-09T06:39:08","Беларусь головного мозга","9657985200","‼️ ","","","","","","","","МАЯ КРАІНА БЕЛАРУСЬ","","","","","","","","","","","",""
"","","","","","","","","","bold","Друзья, сегодня в Беларуси проходят президентские выборы. Мы советуем вам подписаться на наши группы","","","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","и группых наших друзей, где мы даём только проверенную информацию. Подписывайтесь:\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","\nКанал ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Беларусь Головного Мозга","https://t.me/belamova","","","","","","","","","","","","","","","","",""
"","","","","","","",""," - Эксклюзивы, инсайды, политика и аналитика.\nКанал ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Мая краіна Беларусь","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","","","","","",""
"","","","","","","",""," - Протесты, культура, активизм в любой форме.\nКанал ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Протесты в мире","https://t.me/worldprotest","","","","","","","","","","","","","","","","",""
"","","","","","","",""," - Протесты, революции и международные катаклизмы.\nКанал ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Усы Лукашенко","https://t.me/joinchat/AAAAAEklfX7sPNSO8QXhJw","","","","","","","","","","","","","","","","",""
"","","","","","","",""," - Сатира, юмор, приколы о Лукашенко.\nКанал ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Выборы. Беларусь","https://t.me/vybary","","","","","","","","","","","","","","","","",""
"","","","","","","",""," - Агрегатор всех новостей по выборам.\nКанал ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Экономика Беларуси","https://t.me/belarus_economy","","","","","","","","","","","","","","","","",""
"","","","","","","",""," - Экономика, финансы, социальные новости. \nКанал ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Belarus History","https://t.me/belarusian_history","","","","","","","","","","","","","","","","",""
"","","","","","","",""," - Даты, падзеі, людзі зь беларускай гісторыі.\nКанал ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Пятая колонка","https://t.me/belarus_lite","","","","","","","","","","","","","","","","",""
"","","","","","","",""," - Политика с юмором.\nКанал ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Грустный ","https://t.me/NIkolaiLukashenko","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Коленька","https://t.me/NIkolaiLukashenko","","","","","","","","","","","","","","","","",""
"","","","","","","",""," - Первый после Бога","","","","","","","","","","","","","","","","","","","",""
"","","","8011","message","2020-08-09T07:18:14","Беларусь головного мозга","9657985200","⚡️ Вероника Цепкало покинула Беларусь\n\nПодробно: ","","","","2020-08-09T07:18:35","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://bit.ly/2DBgzjx","","","","","","","","","","","","","","","","","",""
"","","","8012","message","2020-08-09T07:39:26","Беларусь головного мозга","9657985200","Власти стягивают в Минск все свои жалкие силы. А это значит, что в регионах сегодня будет полтора милиционера. Гомель, Борисов, Бобруйск, Жодино и остальные региональные города, сегодня всё зависит от вас!","","","","","","","","","","","","","","","","","","","",""
"","","","8013","message","2020-08-09T07:48:59","Беларусь головного мозга","9657985200","В Минске задержали журналистов Дождя. Настолько колхозным методом душить правду ещё надо постараться.","","","","","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","",""
"","","","8014","message","2020-08-09T07:56:41","Беларусь головного мозга","9657985200","А вот мы и рассекретили содержимое прицепа. Сегодня Минск будут оцеплять колючей проволокой.","","","","","(File not included. Change data exporting settings to download.)","1280","960","","","","","","","","","","","","",""
"","","","8015","message","2020-08-09T08:02:52","Беларусь головного мозга","9657985200","Явка на данный момент: \n\nМинск - 52,03%\nМинская область - 64,21\nБрестская область - 63,05%\nВитебская область - 67,35\nГомельская область 75,83%\nГродненская область - 65,75%\nМогилевская область - 72,57%","","","","","","","","","","","","","","","","","","","",""
"","","","8016","message","2020-08-09T08:05:05","Беларусь головного мозга","9657985200","Огромные очереди на участках в Минске. Вряд ли эти люди пришли голосовать за старого диктатора.","","","","","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","",""
"","","","8017","message","2020-08-09T08:19:15","Беларусь головного мозга","9657985200","","bold","Гомель, Брест, Гродно, Могилёв, Витебск и все райцентры! \n\nСегодня все силы стянуты в Минск. А это значит, что сегодня наше время. Сегодня наш день.\n\n","","","","","","МАЯ КРАІНА БЕЛАРУСЬ","","","","","","","","","","","",""
"","","","","","","","","Каждый город, населенный пункт, деревня. Каждый Я. Пора, да, именно сейчас, ответить ЛИЧНО КАЖДОМУ на вопросы, кто Я ? \n\nРаб узурпатора или Беларус. Что я скажу своим потомкам, своему близкому. Как я буду смотреть в зеркало. Ведь я не майданутый, не преступник. Я мирно хочу закона и сменяемости власти. Я - Народ!\n\nДорогие земляки, Беларусы! Пора определяться, именно сейчас. Давайте уже станем Народом! Любим вас ! ♥️✌️✊\n\n","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","9 АВГУСТА  20.00 ЦЕНТРАЛЬНАЯ ПЛОЩАДЬ ВАШЕГО ГОРОДА\n\nВМЕСТЕ","","","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","- ПОБЕДИМ!","","","","","","","","","","","","","","","","","",""
"","","","8018","message","2020-08-09T08:25:13","Беларусь головного мозга","9657985200","Огромные очереди на участках по всей стране! \nГані быкоў! Вярнецца доля!","","","","","","720","1280","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","8","","","","","","",""
"","","","8019","message","2020-08-09T08:33:40","Беларусь головного мозга","9657985200","В своё время этот клип стал чуть ли не гимном протестов. Самое время вспомнить классику!","","","","","","640","480","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","226","","","","","","",""
"","","","8020","message","2020-08-09T08:37:43","Беларусь головного мозга","9657985200","","","","","","","","","","","","","","","Выйдешь сегодня на улицу?","False","42044","Да","0","False",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Нет","0","False",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Не решил/Другой вариант","0","False",""
"","","","8021","message","2020-08-09T08:42:52","Беларусь головного мозга","9657985200","","bold","Мы усилили наш прокси сервер для пользователей из Беларуси\n\n","","","","","","Telegram Info","","","","","","","","","","","",""
"","","","","","","","","Много лет мы планомерно выступаем за свободу слова в сети и свободу доступа к информации в Telegram. Сегодня в Беларуси важный день, и мы обязаны помочь белоруским пользователям в такой сложный момент. Поэтому ширина потока ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","нашего прокси","https://t.me/proxy?server=tginfo-proxy.duckdns.org&port=443&secret=7jszQ18ikM72HpQcp2f4sqlzMy5hbWF6b25hd3MuY29t","","","","","","","","","","","","","","","","",""
"","","","","","","",""," была увеличена более чем в 15 раз.\n\nБолее 12 000 пользователей из Беларуси воспользовались нашим прокси сервером за сегодня. Десятки и сотни тысяч используют другие прокси серверы, поэтому призываем их держателей также расширить расширить каналы, чтобы помочь с доступом к информации беларусам.\n\n","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Telegram Info","https://t.me/tginfo","","","","","","","","","","","","","","","","",""
"","","","","","","",""," тем временем преодолел порог в ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","40 000","","","","","","","","","","","","","","","","","",""
"","","","","","","",""," подписчиков. Спасибо вам, и Жыве Беларусь!","","","","","","","","","","","","","","","","","","","",""
"","","","8022","message","2020-08-09T08:48:00","Беларусь головного мозга","9657985200","А вот и водомёты подъехали. Готовимся к пенной вечеринке.","","","","","(File not included. Change data exporting settings to download.)","1276","956","","","","","","","","","","","","",""
"","","","8023","message","2020-08-09T08:48:33","Беларусь головного мозга","9657985200","❗️","","","","2020-08-09T08:50:16","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Срочно","","","","","","","","","","","","","","","","","",""
"","","","","","","","","❗️\nБеларускую версию сайта платформы «Голос» подменили.\nПерходя по старой ссылке, вы попадаете на сайт-заглушку, которая просит вас оставить свой номер телефона.\n","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Новый адрес «Голоса»","","","","","","","","","","","","","","","","","",""
"","","","","","","",""," — ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","bit.ly/golos_pro","","","","","","","","","","","","","","","","","",""
"","","","","","","","",".\n\nНЕ используйте старый сайт «Голоса», находясь в Беларуси.\nНЕ оставляйте свои данные на фейковом сайте.\nОтправляйте фото своих бюллетеней ТОЛЬКО через чат-боты.\n\n","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Напоминаем правильные адреса:\nТелеграм","","","","","","","","","","","","","","","","","",""
"","","","","","","","",": ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@golosby_bot","","","","","","","","","","","","","","","","","",""
"","","","","","","","","\n","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Вайбер","","","","","","","","","","","","","","","","","",""
"","","","","","","","",": viber://pa?chatURI=golos-by\n\nБолее 1 миллиона пользователей, которые уже были зарегистрированы на платформе, в безопасности. Их данным ничего не угрожает, а фото бюллетеней по-прежнему можно отправлять через мессенджер.\n\nЕщё раз. ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Отправляем фотографии ТОЛЬКО через чат-бот. НЕ оставляем свой номер телефона на сайте.\n\nВласть решила украсть у нас не только наши голоса, но и даже альтернативный способ их подсчитать.\n\n\nРасскажите друзьям, раскидайте в чаты, предупредите родителей.\nСпасибо.","","","","","","","","","","","","","","","","","",""
"","","","8024","message","2020-08-09T08:52:46","Беларусь головного мозга","9657985200","Известный беларусский стендап комик Иван Усович пришел голосовать в посольство Беларуси в Москве. Он был с белой лентой в знак поддержки перемен.","","","","","(File not included. Change data exporting settings to download.)","960","1280","Протесты в мире","","","","","","","","","","","",""
"","","","8025","message","2020-08-09T09:13:20","Беларусь головного мозга","9657985200","Таких очередей на участках Беларусь ещё не видела. Безвольный народец умер, проснулась беларусская нация!","","","","","","720","1280","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","11","","","","","","",""
"","","","8026","message","2020-08-09T09:24:08","Беларусь головного мозга","9657985200","Вы только посмотрите на лицо зажравшегося и завравшегося деда. В этот раз он снова сфальсифицирует выборы и усядется на трон. Помешать ему можете только вы.","","","","","","1280","720","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","61","","","","","","",""
"","","","8027","message","2020-08-09T09:39:19","Беларусь головного мозга","9657985200","Бандиты в форме ходят по дворам и похищают прохожих. Посмотрите на реакцию всего двора. Силовики, вам не стыдно носить свою форму? \nВидео: ","","","","","","720","1280","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","113","","","","","","",""
"","","","","","","","","","mention","@nexta_tv","","","","","","","","","","","","","","","","","",""
"","","","8028","message","2020-08-09T09:56:21","Беларусь головного мозга","9657985200","Павла Белоуса (владелец ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","Symbal.by","","","","","","","","","","","","","","","","","",""
"","","","","","","","",") задержали сотрудники ГАИ возле деревни Судники.\nОн ехал на участок голосовать. У сотрудников появилось абсурдное подозрение, что Павел в состоянии алкогольного опьянения. Теперь его везут на проверку в Воложин. \nОчевидно, что это полнейший бред. 1937 год возвращается. Людей похищают прямо по дороге из машины.","","","","","","","","","","","","","","","","","","","",""
"","","","8029","message","2020-08-09T10:03:15","Беларусь головного мозга","9657985200","Голосование, которое мы заслужили.","","","","","(File not included. Change data exporting settings to download.)","1200","801","","","","","","","","","","","","",""
"","","","8030","message","2020-08-09T10:07:31","Беларусь головного мозга","9657985200","Город Березино перекрывают бетонными плитами. Правда как они помешают протестующим - непонятно.","","","","","(File not included. Change data exporting settings to download.)","1280","960","","","","","","","","","","","","",""
"","","","8031","message","2020-08-09T10:13:15","Беларусь головного мозга","9657985200","На один из участков в Минске мужчина привёз мороженое и воду, для стоящих в очереди людей. Солидарность!","","","","2020-08-09T10:14:51","(File not included. Change data exporting settings to download.)","626","829","","","","","","","","","","","","",""
"","","","8032","message","2020-08-09T10:13:15","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","634","841","","","","","","","","","","","","",""
"","","","8033","message","2020-08-09T10:31:05","Беларусь головного мозга","9657985200","Выгнали независимых наблюдателей из посольства в Вильнюсе, сказали, что комиссия не будет работать, пока они не уйдут с территории посольства. Вот вам и демократические и прозрачные выборы.","","","","","","720","1280","Выборы. Беларусь","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","77","","","","","","",""
"","","","8034","message","2020-08-09T10:45:46","Беларусь головного мозга","9657985200","Жесткое задержание наблюдателя около Гимназии №5 в Минске. Бандиты в форме похищают людей.","","","","","","1080","1920","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","9","","","","","","",""
"","","","8035","message","2020-08-09T11:01:52","Беларусь головного мозга","9657985200","Всю информацию с места событий кидайте нам \nВ telegram: ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@BGMnews_bot","","","","","","","","","","","","","","","","","",""
"","","","","","","","","\nЕсли пропадет интернет: ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+37062509621","","","","","","","","","","","","","","","","","",""
"","","","8037","message","2020-08-09T11:09:18","Беларусь головного мозга","9657985200","У многих участников фарса под названием ""выборы"" сдают нервы. Солидарность спасёт этот день.","","","","","","1920","1080","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","34","","","","","","",""
"","","","8038","message","2020-08-09T11:14:55","Беларусь головного мозга","9657985200","Реакция людей на автозаки бесценна.","","","","","","720","1280","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","4","","","","","","",""
"","","","8039","message","2020-08-09T11:15:33","Беларусь головного мозга","9657985200","Флаг в окне квартиры Вадима Прокопьева в Минске. Действуйте по плану: Вешайте себе в окна флаги и идите голосовать на участки. А после сбор на основных площадях в областных городах и у Стеллы в Минске.","","","","","(File not included. Change data exporting settings to download.)","720","1280","Пятая колонка","","","","","","","","","","","",""
"","","","8040","message","2020-08-09T11:19:22","Беларусь головного мозга","9657985200","Вадим Прокопьев на митинге у Беларусского посольства в Киеве.","","","","","(File not included. Change data exporting settings to download.)","633","845","","","","","","","","","","","","",""
"","","","8041","message","2020-08-09T11:23:35","Беларусь головного мозга","9657985200","Вялый бубнеж беларусского посла в Швеции не выдерживает никакой народной критики. \nЛюди возмущены, что им не позволяют реализовать их законные права, создавая искусственные помехи.\nОказалось, что посольство рассчитывало на 50 избирателей сегодня.","","","","2020-08-09T11:23:51","","720","1280","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","158","","","","","","",""
"","","","8042","message","2020-08-09T11:27:54","Беларусь головного мозга","9657985200","В Жлобине горисполком охраняет один автозак и одна машина. Больше там техники нет. Кого может это разогнать или напугать? Регионы, в 20:00 покажите, что вы сила!","","","","","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","",""
"","","","8043","message","2020-08-09T11:27:54","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","",""
"","","","8044","message","2020-08-09T11:57:34","Беларусь головного мозга","9657985200","Трусливые преступники в форме хватают людей просто так.\n\nОчевидно, они панически боятся, что соберется хоть сколько-то людей у участков и потребуют огласить реальные результаты, после чего пойдут на центральные площади в областях и к Стелле в Минске.\n\nОни очень боятся, иначе такие истеричные поступки не объяснить.","","","","","","480","640","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","17","","","","","","",""
"","","","8045","message","2020-08-09T12:05:32","Беларусь головного мозга","9657985200","","bold","Ст.м. Площадь Ленина не работает! Поезда просто не останавливаются","","","","","","","","","","","","","","","","","",""
"","","","","","","","",".","","","","","","","","","","","","","","","","","","","",""
"","","","8046","message","2020-08-09T12:10:35","Беларусь головного мозга","9657985200","Вот такая атмосфера на одном из избирательных участков в Минске. \nДиджей - красавчик!","","","","","","1080","1920","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","51","","","","","","",""
"","","","8047","message","2020-08-09T12:39:44","Беларусь головного мозга","9657985200","Станция метро ""Октябрьская"" не работает. Поезд проезжает мимо.","","","","","","","","","","","","","","","","","","","",""
