"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__width","messages__height","messages__text__type","messages__text__text","messages__text","messages__text__href","messages__photo","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__reply_to_message_id","messages__forwarded_from","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen"
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","7555","message","2020-08-09T03:25:06","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","","","Недоступен сайт независимого наблюдения ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","link","Zubr.in","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," В связи с вмешательством в функционирование платформы ZUBR со стороны спецслужб Беларуси предлагаем всем гражданам и наблюдателям направлять сообщения об инцидентах через телеграм-бот ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@zubr_assist_bot","","","","","","","","","","","","","","",""
"","","","7556","message","2020-08-09T03:47:32","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","720","1280","","","Поступает внушительное количество информации об испорченных заранее бюллетенях. При получении бюллетеня ВНИМАТЕЛЬНО осмотрите его на наличие заранее проставленных меток. В случае, если на вашем бюллетене стоит посторонняя отметка, требуйте признания его недействительным и уничтожения этого бюллетеня при вас!\n\n","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","7557","message","2020-08-09T04:20:56","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","bold","Нам поступает огромное  количество СМС со всей Беларуси о проблемах с доступом в интернет.  Рекомендуем воспользоваться прокси.\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Прокси удобнее использовать, если вы хотите обойти блокировку именно Telegram, если заблокированы и другие сервисы, используйте VPN.\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","italic","Здесь представлены работающие на данный момент прокси.\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy","","https://t.me/proxy?server=catalog.live.ovh&port=443&secret=ee4fa2f00b585e2528db4ce33feaabb1c0676f6f676c652e636f6d&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@CatalogTelegram","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy•2","","https://t.me/proxy?server=catalog.proxy.pp.ru&port=443&secret=ee4fa2f00b585e2528db4ce33feaabb1c0676f6f676c652e636f6d&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@CatalogTelegram","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy•3","","https://t.me/proxy?server=mssg.me.pp.ru&port=443&secret=ee4fa2f00b585e2528db4ce33feaabb1c0676f6f676c652e636f6d&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@CatalogTelegram","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy","","https://t.me/proxy?server=exp.proxy.digitalresistance.dog&port=443&secret=7tQdjNmPALIE6YAJmOz4Mi53d3cuZ29vZ2xlLmNvbQ&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@drproxy","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy•2","","https://t.me/proxy?server=russia-dd.proxy.digitalresistance.dog&port=443&secret=ddd41d8cd98f00b204e9800998ecf8427e&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@drproxy","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy","","https://t.me/proxy?server=tginfo-proxy.duckdns.org&port=443&secret=7jszQ18ikM72HpQcp2f4sqlzMy5hbWF6b25hd3MuY29t&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@tginfo","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy","","https://t.me/proxy?server=68f9b1.FCKRKNbot.aiwp3.club&port=4443&secret=eef48f621b110f302e468756840c29f91673332e616d617a6f6e6177732e636f6d&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@FCK_RKN_bot","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy•2","","https://t.me/proxy?server=dayproxy.jumpje.club&port=4443&secret=eef48f621b110f302e468756840c29f91673332e616d617a6f6e6177732e636f6d&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@FCK_RKN_bot","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy","","https://t.me/proxy?server=kod.mtproto.ovh&port=443&secret=eee82dc8e05a04e0b3bfb084bd9a0b87b5676f6f676c652e636f6d&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@d_code","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy","","https://t.me/proxy?server=yet.live.ovh&port=443&secret=ee726b6e2068757920736f736974653a29676f6f676c652e636f6d&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@mtpro_xyz_bot","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy","","https://t.me/proxy?server=tut.tgrmx.ru&port=443&secret=ee6575860df1848335b7110ca37d01f14a7777772e66616365626f6f6b2e636f6d&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@NormGif","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy","","https://t.me/proxy?server=proxy.freether.tk&port=443&secret=ee98cc82c1c30797ef4ad27fbd084c71b0676f6f676c652e636f6d&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@proxy_freether","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy","","https://t.me/proxy?server=bestmtprotoproxy.duckdns.org&port=443&secret=ee720d74cff5ec9c947c4163633ffe440e7777772e70726f6475637468756e742e636f6d&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@netupfakt","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","MTProxy","","https://t.me/proxy?server=tg.proxystack.today&port=443&secret=7vGXWnY0lW4OIrgEN7KLXDN3d3cubW96aWxsYS5vcmc%3D&@ru_proxy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," от ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@EasyAPK","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","7558","message","2020-08-09T04:34:49","2020-08-09T06:26:03","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","bold","‼️Чтобы максимально снизить риски того, что ваш голос не будет учтен, следуйте ниже перечисленным инструкциям:\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","✅ Приходите на участок с паспортом. \n\n✅ Вас находят в списке избирателей. \n\n✅ Ставите подпись.\n \n✅ Вам дают бюллетень. Проверяете целостность бюллетеня. Проверяете 2 подписи с обратной стороны и, чтобы не было точки в окошках других кандидатов. \n\n✅ Заходите в кабину для голосования.\n\n✅ Делаете выбор. Фотографируете.\n\n✅ Переворачиваете и фотографируете (у вас будет 2 фото, бюллетень со всех сторон)\n\n✅ Складываете гармошкой. Бросаете в урну для голосования.\n\n🟢Не забываем улыбаться и напоминать членам комиссий об ответственности за фальсификации на выборах. Статья 192 УК РБ, до 5 лет.\n\n🔴В случае, если что-то из выше перечисленных пунктов не соответствует - пишите жалобу или вызывайте милицию.\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ\n","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","СМС: ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","phone","+420731305473","","","","","","","","","","","","","","",""
"","","","7559","message","2020-08-09T04:48:23","2020-08-09T05:11:00","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","","","На данный момент помогает обходить блокировки:\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Проект Psiphon","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," (есть для всех платформ): ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","link","psiphon3.com/ru/download.html","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Встроенный VPN в браузере Opera","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",":\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","link","opera.com/ru","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ\n","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","СМС: ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","phone","+420731305473","","","","","","","","","","","","","","",""
"","","","7561","message","2020-08-09T05:46:53","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","bold","ВЫБОРЫ 2020 ОНЛАЙН:\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","link","https://youtu.be/CCVMCvh_vSg","","","","","","","","","","","","","","",""
"","","","7562","service","2020-08-09T05:49:35","","","","","","","","","","","","","","","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","pin_message","7557","","","","","","","",""
"","","","7563","message","2020-08-09T05:57:24","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","","","⚡️⚡️","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Информация ЦИК на 12:00. Выборы в стране состоялись.","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Явка составила более 54%\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ\n","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","СМС: ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","phone","+420731305473","","","","","","","","","","","","","","",""
"","","","7564","service","2020-08-09T06:14:45","","","","","","","","","","","","","","","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","pin_message","7559","","","","","","","",""
"","","","7565","message","2020-08-09T06:25:32","2020-08-09T06:28:04","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","","","‼️","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","СРОЧНО! Нам пишут сотни людей, что им не дают поставить дату при получении бюллетеня. Мы запросили информацию у правозащитников.\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","✅На самом деле дата проставляется только на досрочном голосовании. В основной день дата НЕ НУЖНА и такой графы быть не должно. \n\n✅Если графа все-таки есть, то ставим 09.08.2020.\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ\n","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","СМС: ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","phone","+420731305473","","","","","","","","","","","","","","",""
"","","","7566","message","2020-08-09T06:37:27","2020-08-09T06:38:08","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","","","‼️ ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Друзья, сегодня в Беларуси проходят президентские выборы. Мы советуем вам подписаться на наши группы","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","и группых наших друзей, где мы даём только проверенную информацию. Подписывайтесь:\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\nКанал ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Беларусь Головного Мозга","","https://t.me/belamova","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - Эксклюзивы, инсайды, политика и аналитика.\nКанал ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Мая краіна Беларусь","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - Протесты, культура, активизм в любой форме.\nКанал ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Протесты в мире","","https://t.me/worldprotest","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - Протесты, революции и международные катаклизмы.\nКанал ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Усы Лукашенко","","https://t.me/joinchat/AAAAAEklfX7sPNSO8QXhJw","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - Сатира, юмор, приколы о Лукашенко.\nКанал ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Выборы. Беларусь","","https://t.me/vybary","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - Агрегатор всех новостей по выборам.\nКанал ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Экономика Беларуси","","https://t.me/belarus_economy","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - Экономика, финансы, социальные новости. \nКанал ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Belarus History","","https://t.me/belarusian_history","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - Даты, падзеі, людзі зь беларускай гісторыі.\nКанал ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Пятая колонка","","https://t.me/belarus_lite","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - Политика с юмором.\nКанал ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Грустный ","","https://t.me/NIkolaiLukashenko","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Коленька","","https://t.me/NIkolaiLukashenko","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - Первый после Бога","","","","","","","","","","","","","",""
"","","","7567","message","2020-08-09T06:40:23","2020-08-09T06:40:46","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","740","786","bold","Мир, гласность и закон - защита и оружие Народа Беларуси.\n\n","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","А не Майдан, как кричит истеричный дед 🤦\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ\n","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","СМС: ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","phone","+420731305473","","","","","","","","","","","","","","",""
"","","","7568","message","2020-08-09T07:08:17","2020-08-09T07:08:30","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","bold","⚡️В Минске задержана съемочная группа российского независимого телеканала ""Дождь""\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ\n","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","СМС: ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","phone","+420731305473","","","","","","","","","","","","","","",""
"","","","7569","message","2020-08-09T07:14:28","2020-08-09T07:17:59","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","1280","","","Кадры задержания журналистов телеканала ""Дождь"" \n\n""Демократия"" во всей красе.\n\n","","(File not included. Change data exporting settings to download.)","","","","","7568","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ\n","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","СМС: ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","phone","+420731305473","","","","","","","","","","","","","","",""
"","","","7570","message","2020-08-09T07:17:05","2020-08-09T07:19:18","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","566","398","","","⚡️ ","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Вероника Цепкало уехала из Беларуси.\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Причины отъезда: ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","link","https://bit.ly/2DBgzjx","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ\n","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","СМС: ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","phone","+420731305473","","","","","","","","","","","","","","",""
"","","","7571","message","2020-08-09T07:38:56","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","bold","Власти пытаются легитимизировать явку на досрочное голосование голосами избирателей, которые пришли в основной день.\n\nВот такое сообщение пришло от нашего подписчика: \n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","italic","Прихожу на участок. Даю паспорт, его сверяют, дают расписаться, ставлю подпись. Дают бланк, иду в кабинку и голосую. В кабинке вспоминаю, что забыл поставить дату рядом с подписью. Выхожу из кабинки, кидаю гармошкой сложенную бюллетень и направляюсь к тому месту откуда я брал эту бюллетень. Говорю, что забыл поставить дату рядом с подписью, меня заверяют, что в день выборов подпись не ставится... Я настаиваю и прошу показать мне список. Женщина, к которой я обращался просит, чтобы её соседка передала ей список ДОСРОЧНОГО голосования, где и находится моё имя... Вроде и день выборов, а списки досрочные... 🤷‍♂️\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ\n","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","СМС: ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","phone","+420731305473","","","","","","","","","","","","","","",""
"","","","7572","message","2020-08-09T07:56:39","2020-08-09T07:56:51","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","","","⚡️ ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Явка избирателей на президентских выборах на 15:00 составила 65,19%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",".\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ\n","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
