"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__edited","messages__photo","messages__width","messages__height","messages__reply_to_message_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds"
"","","","382","message","2020-08-09T07:19:51","Честные люди","9900014418","За вас проголосовал кто-то другой? \nКак зафиксировать нарушения в журнале.\n\nНам присылают истории, когда избиратели приходят на участок и видят очевидные ошибки в журнале для голосования:\n ✔️Кто-то уже расписался напротив вашей фамилии\n ✔️Вы видите пустой журнал для досрочного голосования\n ✔️ На ваш адрес приписаны люди, которые там не живут\n ✔️В списках указан ваш родственник, гражданин другой страны.\n\nЗаметили нарушение — постарайтесь сфотографировать журнал.\nЕсли член комиссии не даёт это сделать — не обостряйте конфликт. Спросите его фамилию, чтобы указать в заявлении в милицию.\n\n❗️","","","","","","","","","","","","",""
"","","","","","","","","","bold","Сообщите о нарушении на сайте ","","","","","","","","","","",""
"","","","","","","","","","text_link","https://wiki.honestby.org/","https://wiki.honestby.org/","","","","","","","","","",""
"","","","","","","","","❗️\nИстория нарушений нужна кандидатам, чтобы оспорить результаты выборов после 9 августа.\n\n❗️","","","","","","","","","","","","",""
"","","","","","","","","","bold","Напишите заявление в милицию, чтобы привлечь виновного к ответственности","","","","","","","","","","",""
"","","","","","","","","❗️\n1. Заполните личное или коллективное заявление, сфотографируйте его. Форма заявления тут: ","","","","","","","","","","","","",""
"","","","","","","","","","link","https://bit.ly/33HfPE8","","","","","","","","","","",""
"","","","","","","","","\n2. Вызовите сотрудников милиции. Важно зафиксировать обращение.\n3. Как только прибывает сотрудник, запишите его данные и расскажите о фактах нарушений. Если он отказывается принять заявление — фиксируйте отказ и просите направить других сотрудников.\n4. Если ваше заявление так никто и не примет, можно подать его лично в РУВД и получить талон о регистрации в Единой книге.\n5. Вышлите фото заявления боту платформы Зубр в Telegram: ","","","","","","","","","","","","",""
"","","","","","","","","","link","https://t.me/zubr_assist_bot","","","","","","","","","","",""
"","","","","","","",""," или Viber: ","","","","","","","","","","","","",""
"","","","","","","","","","link","https://chats.viber.com/zubr_assist_bot","","","","","","","","","","",""
"","","","","","","","",".\nПодробная статья с описанием процедуры подачи заявления — ","","","","","","","","","","","","",""
"","","","","","","","","","link","https://bit.ly/31zdngn","","","","","","","","","","",""
"","","","","","","",""," \n\nСпасибо вам за ответственность!\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#уНасЕстьГолос","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#всепочесноку","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#СчитайтеЧестно","","","","","","","","","","",""
"","","","383","message","2020-08-09T08:48:42","Честные люди","9900014418","","bold","СРОЧНО! \nСАЙТ «ГОЛОСА» ПОДМЕНИЛИ\n\n","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","","","","","","❗️","","","","","","","","","","","","",""
"","","","","","","","","","bold","Срочно","","","","","","","","","","",""
"","","","","","","","","❗️\nБелорусскую версию сайта платформы «Голос» подменили.\nПереходя по старой ссылке, вы попадаете на сайт-заглушку, которая просит вас оставить свой номер телефона.\n\n👉Новый адрес «Голоса» — ","","","","","","","","","","","","",""
"","","","","","","","","","link","bit.ly/golos_pro","","","","","","","","","","",""
"","","","","","","","",".\n\n❗️НЕ используйте старый сайт «Голоса», находясь в Беларуси.\n❗️НЕ оставляйте свои данные на фейковом сайте.\n❗️Отправляйте фото своих бюллетеней ТОЛЬКО через чат-боты.\n\nНапоминаем правильные адреса:\n","","","","","","","","","","","","",""
"","","","","","","","","","bold","Телеграм","","","","","","","","","","",""
"","","","","","","","",": ","","","","","","","","","","","","",""
"","","","","","","","","","mention","@golosby_bot","","","","","","","","","","",""
"","","","","","","","","\n","","","","","","","","","","","","",""
"","","","","","","","","","bold","Вайбер","","","","","","","","","","",""
"","","","","","","","",": viber://pa?chatURI=golos-by\n\nБолее 1 миллиона пользователей, которые уже были зарегистрированы на платформе, в безопасности. Их данным ничего не угрожает, а фото бюллетеней по-прежнему можно отправлять через мессенджер.\n\nЕщё раз. Отправляем фотографии ТОЛЬКО через чат-бот. НЕ оставляем свой номер телефона на сайте.\n\nРасскажите друзьям, раскидайте в чаты, предупредите родителей!\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#уНасЕстьГолос","","","","","","","","","","",""
"","","","384","message","2020-08-09T10:39:19","Честные люди","9900014418","Если вы стоите в очереди на свой участок голосования и вам сообщили, что закончились бюллетени, сделайте следующее:\n\n✅ Пересчитайте всех, кто стоит в очереди, уточняя у каждого, голосует ли он или стоит с кем-то за компанию.\n✅ Результат в формате ""на момент ХХ ч. ХХ мин. не хватило бюллетеней ХХХ человекам в очереди"" отошлите в чат-бот ","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","","","","","","","link","https://t.me/zubr_assist_bot","","","","","","","","","","",""
"","","","","","","",""," \n✅ Повторите эту процедуру, если в 20.00 очередь останется, а на участок перестанут запускать избирателей. \n\n📲Поделитесь этой информацией с теми, кто тоже где-то стоит в очереди!\n\n ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#уНасЕстьГолос","","","","","","","","","","",""
"","","","385","message","2020-08-09T12:39:02","Честные люди","9900014418","❗️Важное сообщение от платформы «Голос». \n\nМы понимаем, что вам очень хочется отправить фото ваших бюллетеней, но это – ваша личная информация. Не нужно высылать фото никуда, кроме официальных чат-ботов платформы «Голос» в\n✔️ ","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","","","","","","","bold","Телеграм","","","","","","","","","","",""
"","","","","","","","",": ","","","","","","","","","","","","",""
"","","","","","","","","","mention","@golosby_bot","","","","","","","","","","",""
"","","","","","","",""," и\n✔️ ","","","","","","","","","","","","",""
"","","","","","","","","","bold","Вайбер","","","","","","","","","","",""
"","","","","","","","",": viber://pa?chatURI=golos-by\n\n• Не размещайте их до 20.00 в социальных сетях\n• Не отправляете их на другие страницы, сайты, в чаты,  каналы и паблики\n\nОшибка функции выбора участка на сайте Голоса, возникшая в связи с атакой на платформу, уже исправлена. Ура!\n\nЕсли у вас проблемы с интернетом, фото могут быть отправлены и завтра.\nСохраняйте спокойствие и не поддавайтесь на провокации. \n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#уНасЕстьГолос","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","386","message","2020-08-09T13:26:32","Честные люди","9900014418","В 20.00 участки для голосования должны закрываться.\nСогласно методическим рекомендациям для УИК, избиратели, попавшие в помещение для голосования до 20.00, смогут проголосовать и позже, остальные - нет. Председатель комиссии по своему решению может расширить границы помещения для голосования, впустив людей в холл.\n\nЕсли вы не успели проголосовать, мы рекомендуем обойти всю оставшуюся очередь и посчитать количество избирателей в ней. Сообщение в формате “XX человек не смогли проголосовать"" отправьте в чат бот ","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","","","","","","","link","https://t.me/zubr_assist_bot","","","","","","","","","","",""
"","","","","","","",""," \n\nБудьте благоразумны, не поддавайтесь на провокации и ожидайте вывешивания протоколов голосования. Сфотографируйте протокол и тоже отправьте в чат-бот  ","","","","","","","","","","","","",""
"","","","","","","","","","link","https://t.me/zubr_assist_bot","","","","","","","","","","",""
"","","","","","","",""," \n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#всепочесноку","","","","","","","","","","",""
"","","","387","message","2020-08-10T05:30:03","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","388","message","2020-08-10T05:30:03","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","389","message","2020-08-10T05:30:03","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","390","message","2020-08-10T05:30:03","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","391","message","2020-08-10T05:30:03","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","392","message","2020-08-10T05:30:07","Честные люди","9900014418","","bold","Собираем фотографии протоколов\n","","2020-08-10T05:30:50","","","","","","","","",""
"","","","","","","","","Помогите понять реальные результаты выборов!\n\nДрузья! \nЦИК уже объявил предварительные результаты выборов 😠 Но есть и хорошие новости.\n\nФальсификации в этом году очевидны, как никогда раньше. Благодаря усилиям более МИЛЛИОНА белорусов, мы собрали и продолжаем собирать беспрецедентную базу доказательств, чтобы оспорить официальные результаты.\n\nСейчас у ЦИКа не сходится ровным счётом ничего.\nРасходятся данные от наблюдателей с протоколами на участках.\nЧто ещё важнее — расходятся даже между УЧАСТКОВЫМИ и ТЕРРИТОРИАЛЬНЫМИ избирательными комиссиями.\n\nМы должны идти до конца!\nМы просим всех вас присылать фотографии протоколов, которые вывешивали избирательные комиссии на участках в конце дня. Всех — честных или сфальсифицированных. Нам надо собрать как можно больше данных.\n\n👉Фотографии протоколов присылайте в чат-боты Зубра:\nТелеграм: ","","","","","","","","","","","","",""
"","","","","","","","","","mention","@zubr_assist_bot","","","","","","","","","","",""
"","","","","","","","","\nВайбер: viber://pa?chatURI=zubr_assist_bot \n\nЕсли вы не делали фото сами — спросите друзей, которые были вечером на участке. \n📲Раскидайте этот пост по чатам, отправьте знакомым.\n\nПрямо сейчас мы обрабатываем фотографии всех поступивших к нам протоколов, чтобы построить математическую модель и понять реальные результаты выборов. И вы можете нам в этом помочь.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#уНасЕстьГолос","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#СчитайтеЧестно","","","","","","","","","","",""
"","","","393","message","2020-08-10T07:37:46","Честные люди","9900014418","Недавно мы публиковали аудиозапись «тренировки» членов избирательной комиссии на участке для голосования № 48 Фрунзенского района Минска. \n\nМногое свидетельствует о том, что подобные репетиции происходили и на других участках. Мы хотим попросить граждан Беларуси не устраивать интернет-травлю этих людей.\n\nМы знаем, что аудиозапись пришла от одного из членов этой избирательной комиссии. Из соображений безопасности мы не можем назвать имя и должность этого смелого человека. И понятно, что у этого человека будут проблемы с работой. \n\nПоэтому мы открываем лот на имя ","","","","","(File not included. Change data exporting settings to download.)","1080","1080","392","","","","",""
"","","","","","","","","","text_link","«Честный член УИК»","https://help.honestby.org/person/50","","","","","","","","","",""
"","","","","","","",""," на сайте проекта «Скорая взаимопомощь». \n\nТакже хотим обратиться к другим членам избирательных комиссий.\nМы знаем, что среди вас есть честные люди. Пожалуйста, присылайте нам свои истории и свидетельства фальсификаций на почту ","","","","","","","","","","","","",""
"","","","","","","","","","email","honestpeople202020@gmail.com","","","","","","","","","","",""
"","","","","","","","",".\n\nМы обещаем вам анонимность, финансовую и юридическую поддержку, а также бесконечную благодарность миллионов белорусов.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#скорая_взаимопомощь","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#СчитайтеЧестно","","","","","","","","","","",""
"","","","394","message","2020-08-10T10:13:02","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","395","message","2020-08-10T10:13:06","Честные люди","9900014418","","bold","Важное дело на 10 августа — защитить свои голоса!\n\n","","2020-08-10T10:14:55","","","","","","","","",""
"","","","","","","","","Если у вас что-либо забирают без спроса — факта кражи нет, пока вы о нем не заявите. \nИтоговые протоколы голосования, фото которых мы получаем, вызывают много вопросов.\nНаша общая цель — организация объективного пересчета голосов.\n\nИ мы просим вас помочь со сбором голосов за Светлану Тихановскую и других альтернативных кандидатов, которые не были учтены в итоговых протоколах. Благодаря вам мы сможем сопоставить эти цифры и доказать фальсификации. Для начала — мы подаем жалобу в ЦИК для срочной организации честного подсчета голосов на основании подлинных бюллетеней и сверки со списком избирателей. \n\nВам нужно отправить нам фото вашего заявления, заверенного именами, адресами и подписями вас, членов вашей семьи, соседей и всех, кто также голосовал за вашего кандидата.\n\nОбразец обращения можно найти по ссылке: ","","","","","","","","","","","","",""
"","","","","","","","","","link","https://bit.ly/31ArdPz","","","","","","","","","","",""
"","","","","","","","","\nВы можете написать обращение и в произвольной форме: \n\n","","","","","","","","","","","","",""
"","","","","","","","","","italic","Мы, нижеподписавшиеся избиратели, подтверждаем, что участвовали в голосовании на выборах президента 09.08.2020 на участке для голосования №___ по адресу ___, и каждый из нас отдал свой голос за кандидата _______________.\n","","","","","","","","","","",""
"","","","","","","","","Ниже —  перечисление всех подписавшихся: номер строки, ФИО, адрес, дата, подпись.\n\nФото обращения присылайте на почту ","","","","","","","","","","","","",""
"","","","","","","","","","email","honestpeople202020@gmail.com","","","","","","","","","","",""
"","","","","","","","",".\nЭто нужно сделать прямо сегодня, 10 августа!\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#уНасЕстьГолос","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#СчитайтеЧестно","","","","","","","","","","",""
"","","","396","message","2020-08-10T15:08:38","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","397","message","2020-08-10T15:08:46","Честные люди","9900014418","❗️","","","","2020-08-10T15:40:55","","","","","","","","",""
"","","","","","","","","","bold","Запускаем горячую линию *Честных людей","","","","","","","","","","",""
"","","","","","","","","❗️\n\nКто-то хочет оставить жалобу, кто-то — обратиться за защитой или помощью. Но интернет почти не работает. Поэтому мы запускаем горячую линию.\n\nВот пять номеров телефона и электронная почта, по которым вы можете связаться с нами 24\7. Если у вас работает интернет — лучше пишите на почту. Не получается — звоните по телефону:\n📞","","","","","","","","","","","","",""
"","","","","","","","","","phone","+375297981199","","","","","","","","","","",""
"","","","","","","","","\n📞","","","","","","","","","","","","",""
"","","","","","","","","","phone","+375295483435","","","","","","","","","","",""
"","","","","","","","","\n📞","","","","","","","","","","","","",""
"","","","","","","","","","phone","+375259568043","","","","","","","","","","",""
"","","","","","","","","\n📞","","","","","","","","","","","","",""
"","","","","","","","","","phone","+375298305358","","","","","","","","","","",""
"","","","","","","","","\n","","","","","","","","","","","","",""
"","","","","","","","","","text_link","💻honestpeople202020@gmail.com\n\n","http://%F0%9F%92%BBhonestpeople202020@gmail.com/","","","","","","","","","",""
"","","","","","","","","Задача сообщества *Честные люди","","","","","","","","","","","","",""
"","","","","","","","","","bold"," ","","","","","","","","","","",""
"","","","","","","","","— вовлечении белорусов в гражданский контроль за прозрачностью и законностью выборов. Пишите и звоните нам, если:\n✔️ вы были членом комиссии и хотите анонимно рассказать о фальсификациях или обратиться за помощью;\n✔️ у вас есть фото итоговых протоколов, но вы не можете отправить их без интернета;\n✔️ вы стали очевидцем нарушения, но сайт  ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","wiki.honestby.org","http://wiki.honestby.org/","","","","","","","","","",""
"","","","","","","",""," не работает, и вы хотите рассказать обо всём лично;\n✔️ у вас есть другие вопросы, связанные с избирательным процессом.\n\nМы знаем, что многие боятся говорить открыто. Кому-то нужна поддержка юристов. Кто-то знает о фальсификациях, но не решается о них рассказать. \nПередайте им наши контакты. Обещаем сохранять анонимность и оказывать обратившимся все виды помощи. \n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","398","message","2020-08-11T05:05:50","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","399","message","2020-08-11T05:05:50","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","400","message","2020-08-11T05:05:50","Честные люди","9900014418","","","","","2020-08-11T05:56:23","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","401","message","2020-08-11T05:05:50","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","402","message","2020-08-11T05:05:50","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","403","message","2020-08-11T05:05:50","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","404","message","2020-08-11T05:05:50","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","405","message","2020-08-11T05:05:54","Честные люди","9900014418","Мы работаем над тем, чтобы связаться с наблюдателями по стране и получить больше данных об итогах голосования.  А пока можем поделиться тем, что уже знаем.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","bold","❗️Главное.","","","","","","","","","","",""
"","","","","","","",""," У нас есть доказательства, что досрочное голосование было использовано для грубой фальсификации:\n\n- На ","","","","","","","","","","","","",""
"","","","","","","","","","bold","258","","","","","","","","","","",""
"","","","","","","",""," участках с наблюдением 7/7 часов за все 5 дней мы зафиксировали явку 77 004 человек. \n- На этих же участках, по данным протоколов, явка превысила наши данные на ","","","","","","","","","","","","",""
"","","","","","","","","","bold","66,59%","","","","","","","","","","",""
"","","","","","","",""," и составила 128 281 человек.\n\nДаже по предварительной оценке можно сделать вывод, что ","","","","","","","","","","","","",""
"","","","","","","","","","bold","официально заявленное значение досрочной явки (41.7%) грубо завышено в 2 и более раз.","","","","","","","","","","",""
"","","","","","","",""," Этот тезис подтвердил независимый электоральный аналитик Сергей Шпилькин, который помогал нам с анализом данных.\n\nАбсолютное завышение числа досрочно проголосовавших можно оценить в 24%. Это 1.2 миллиона голосов из 6.8 млн избирателей.\n\nС учетом того, что итоговая официальная явка составила 84,05%, ","","","","","","","","","","","","",""
"","","","","","","","","","bold","почти четверть голосов с высокой вероятностью были сфальсифицированы ","","","","","","","","","","",""
"","","","","","","","","уже на момент досрочного голосования.\n\nКроме того, независимые наблюдатели зафиксировали 5026 нарушений на ","","","","","","","","","","","","",""
"","","","","","","","","","bold","1 381 участке ","","","","","","","","","","",""
"","","","","","","","","в период с 4 по 8 августа. В основном это недопуски на участок и завышение явки в протоколах УИК.\n\nБлагодаря усилиям более ","","","","","","","","","","","","",""
"","","","","","","","","","bold","миллиона","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","bold","белорусов","","","","","","","","","","",""
"","","","","","","",""," мы собрали и продолжаем собирать беспрецедентную базу доказательств для того, чтобы оспорить результаты выборов. Поэтому мы просим всех оставаться в правовом поле, несмотря на поведение властей, и продолжать делиться доказательствами нарушений. \n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," и мы будем добиваться правды!","","","","","","","","","","","","",""
"","","","406","message","2020-08-11T07:09:26","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","407","message","2020-08-11T07:09:33","Честные люди","9900014418","","bold","Вы спрашиваете, каков наш дальнейший план","","","","","","","","","","",""
"","","","","","","","",".\nМы призываем не просто защищать свои голоса на этих выборах, мы организованно заявляем свои права и приучаем власть с ними считаться. \n \n1️⃣ Вчера Светлана Тихановская подала жалобу в ЦИК по признанию выборов недействительными на тех участках, где были заведомо заниженные данные по голосам в ее пользу. Самое позднее – до вечера среды эту жалобу нужно прокачать вашими обращениями. \n","","","","","","","","","","","","",""
"","","","","","","","","","bold","Что нужно сделать вам?","","","","","","","","","","",""
"","","","","","","",""," Написать групповое или индивидуальное обращение ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","по форме","https://bit.ly/31ArdPz","","","","","","","","","",""
"","","","","","","",""," . Можно написать просто от руки и собрать подписи родных/соседей, которые относятся к этому же участку и голосовали за Тихановскую. Сфотографируйте готовое обращение и вышлите фото нам на почту ","","","","","","","","","","","","",""
"","","","","","","","","","email","honestpeople202020@gmail.com","","","","","","","","","","",""
"","","","","","","",""," . Обязательно сохраняйте у себя оригинал! \nПопросите написать такие обращения всех друзей и знакомых. \n \n2️⃣ Мы все догадываемся, как ответит ЦИК. Поэтому, накопив достаточное количество ваших обращений, мы пойдем дальше - в Верховный суд. Срок - до 10 дней после ответа ЦИК.\nЧтобы обращения не выглядели однообразными, мы добавим к ним ваши заявления о всевозможные нарушениях на участках. Пригодится все, что вы успели накопить в виде фото и видео на своих телефонах. Вагон и маленькая тележка электронных доказательств на флешках и дисках. \n\nФорма заявления – ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","по ссылке","https://bit.ly/33HfPE8","","","","","","","","","",""
"","","","","","","",""," . Отредактируйте список нарушений в зависимости от того, с какими столкнулись лично вы (нарушение избирательного законодательства в отношении наблюдателей, выдача бюллетеней без подписей или с отметками, лжесвидетельство председателей УИК при вызове милиции и т.д. ).\nЗаполненное и подписанное заявление сфотографируйте и вышлите нам на почту ","","","","","","","","","","","","",""
"","","","","","","","","","email","honestpeople202020@gmail.com","","","","","","","","","","",""
"","","","","","","",""," . Оригинал оставьте у себя.\n\n3️⃣ Если шаги 1-2 не сработают, все заявления и обращения вам нужно будет подать в РУВД по месту расположения участков. Они должны будут быть рассмотрены. О сроках подачи мы вам сообщим. \n\nМы вместе будем воздействовать на систему всеми законными методами, пока она не изменится.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","409","message","2020-08-11T09:13:59","Честные люди","9900014418","","","","","","","854","480","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","19"
