"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__edited","messages__text__href","messages__forwarded_from","messages__photo","messages__width","messages__height","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__reply_to_message_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds"
"","","","","","","","","","text_link","нашего прокси","","https://t.me/proxy?server=tginfo-proxy.duckdns.org&port=443&secret=7jszQ18ikM72HpQcp2f4sqlzMy5hbWF6b25hd3MuY29t","","","","","","","","","","","","","",""
"","","","","","","",""," была увеличена более чем в 15 раз.\n\nБолее 12 000 пользователей из Беларуси воспользовались нашим прокси сервером за сегодня. Десятки и сотни тысяч используют другие прокси серверы, поэтому призываем их держателей также расширить расширить каналы, чтобы помочь с доступом к информации беларусам.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Telegram Info","","https://t.me/tginfo","","","","","","","","","","","","","",""
"","","","","","","",""," тем временем преодолел порог в ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","40 000","","","","","","","","","","","","","","","",""
"","","","","","","",""," подписчиков. Спасибо вам, и Жыве Беларусь!","","","","","","","","","","","","","","","","","",""
"","","","1940","service","2020-08-09T08:45:26","","","","","","","","","","","","Вясна / Правы чалавека ў Беларусі","9636739710","pin_message","1935","","","","","",""
"","","","1941","message","2020-08-09T08:49:12","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Інтэрнэт-цэнзура ў Беларусі ў дзень выбараў. Што вядома на дадзены момант: \n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://spring96.org/be/news/98905","","","","","","","","","","","","","","","",""
"","","","","","","",""," (даступна як мінімум праз psiphon і vpn-опера)","","","","","","","","","","","","","","","","","",""
"","","","1942","message","2020-08-09T09:29:20","Вясна / Правы чалавека ў Беларусі","9636739710","🎧Soundcloud пакуль яшчэ не заблакавалі, таму раім паслухаць ","","","2020-08-09T09:29:29","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","наш новы падкаст","","https://soundcloud.com/user-761067396/chro-nuzhno-znat-esli-vy-sobiraetes-na-akcyjump3","","","","","","","","","","","","","",""
"","","","","","","",""," ""","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Што трэба ведаць, калі вы збіраецеся на акцыю?""\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://cutt.ly/VdNiPA4","","","","","","","","","","","","","","","",""
"","","","1943","message","2020-08-09T10:49:45","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","А тым часам па краіне за сёння ўжо затрыманы каля 30 назіральнікаў:\n\nСпісы тут","2020-08-09T10:49:57","","","","","","","","","","","","","","",""
"","","","","","","","","👉👉👉  ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://t.me/viasna96/1935","","","","","","","","","","","","","","","",""
"","","","1944","message","2020-08-09T11:51:13","Вясна / Правы чалавека ў Беларусі","9636739710","На выходе из квартиры задержана журналист Екатерина Ткаченко.\nМилиция ждала под квартирой. Предварительно, везут в Центральное РУВД.","","","","","БАЖ / BAJ","","","","","","","","","","","","",""
"","","","1945","message","2020-08-09T12:32:02","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Тым часам нам паведамілі пра двух назіральнікаў, якія затрыманы ў межах крымінальных спраў.\n\n▪️Вольга Літвіна ","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","затрымана","","https://spring96.org/be/news/98891","","","","","","","","","","","","","",""
"","","","","","","",""," на ўчастку №49 Ленінскага раёна. Паводле сваякоў - за перашкоду правядзенню выбараў (арт.191 КК РБ).\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","▪️Аляксе Аляксееў ","","","","","","","","","","","","","","","",""
"","","","","","","","","у Жодзіна (участак №11) ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","затрыманы","","https://spring96.org/be/news/98892","","","","","","","","","","","","","",""
"","","","","","","",""," ў межах справы аб пагрозе сябрам участковай камісіі. \n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","italic","Будзем сачыць за сітуацыяй","","","","","","","","","","","","","","","",""
"","","","1946","message","2020-08-09T12:45:25","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Займальная ","2020-08-09T12:46:19","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","гісторыя пра яўку больш за 100%","","https://elections2020.spring96.org/be/news/98912","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","ад назіральніцы кампаніі “Праваабаронцы за свабодныя выбары” Анастасіі Зайкоўскай.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","На ўчастку №1 Кастрычніцкага раёна Мінска па стане на 14:30 ужо яўка была амаль стоадсоткавая, але пры гэтым людзі працягвалі ісці.\n\n“На датэрміновым галасаванні па пратаколе прагаласавала ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","835 чалавек","","","","","","","","","","","","","","","",""
"","","","","","","","",". Па нашых падліках — у разы менш. Усяго на ўчастку ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","1498 выбаршчыкаў","","","","","","","","","","","","","","","",""
"","","","","","","","",". За ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","сёння да 14:30","","","","","","","","","","","","","","","",""
"","","","","","","","",", да таго моманту як мяне з-за ілжэсведчання праўладных назіральнікаў выгналі з участка, прагаласавала ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","640 чалавек","","","","","","","","","","","","","","","",""
"","","","","","","","",". А","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","рыфметыка:1498 - 835 - 640 = 23","","","","","","","","","","","","","","","",""
"","","","","","","","",". ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Гэта значыць 23 чалавекі павінна прыйсці з 14:30 да 20, каб яўка на ўчастку была стоадсоткавай. ","","","","","","","","","","","","","","","",""
"","","","","","","","","Пры гэтым, на ўчастак пастаянна ідуць людзі і іх колькасць павялічваецца да вечара.\n\nЁсць фота, ёсць мае лісты падліку яўкі, ёсць камеры ў школе. Але старшыня лічыць сябе вышэй за ўсё і ўпэўнены, што яму нічога не будзе. Проста пасмяяўся мне ў твар. А пазбавіўшы акрэдытацыі не па законе яшчэ і сказаў: ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","italic","""Можаце падаваць апеляцыі, скаргі, што заўгодна. Але праз 4 гадзіны камісія расфармоўваецца і вам ніхто не адкажа. І акрэдытавацца вы, відавочна, ужо не паспееце, а вашыя падлікі звонку нікога не цікавяць”","","","","","","","","","","","","","","","",""
"","","","1947","message","2020-08-09T12:54:24","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","В Минске на улице схвачена официальный представитель ""Белсата"" Ирина Славникова.\nПредварительно, везут в Ленинское РУВД.\n\n","","","БАЖ / BAJ","","","","","","","","","","","","",""
"","","","","","","","","","link","https://baj.by/be/content/bazh-sledit-za-situaciey-v-den-vyborov-obnovlyaetsya","","","","","","","","","","","","","","","",""
"","","","1948","message","2020-08-09T14:03:54","Вясна / Правы чалавека ў Беларусі","9636739710","❗️А мы нагадваем: Калі вас ці вашых блізкіх затрымалі, паведамляйце нам праз тэлеграм-бот ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@viasna_bot","","","","","","","","","","","","","","","",""
"","","","","","","",""," ці на ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","гарачую лінію","","","","","","","","","","","","","","","",""
"","","","","","","","",":\n\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+375 29 543 38 66","","","","","","","","","","","","","","","",""
"","","","","","","",""," (у тым ліку Viber),\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@ViasnaSOS","","","","","","","","","","","","","","","",""
"","","","","","","",""," - тэлеграм.\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+ 375 17 377 55 40","","","","","","","","","","","","","","","",""
"","","","","","","","","\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Спісы","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","затрыманых на сайце spring96.org","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","і ў табліцах:","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://t.me/viasna96/1935","","","","","","","","","","","","","","","",""
"","","","1949","message","2020-08-09T14:13:07","Вясна / Правы чалавека ў Беларусі","9636739710","В Могилеве у ТЦ «Атриум» задержана журналист ","","","","","TUT.BY новости","","","","","","","","","","","","",""
"","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","",""
"","","","","","","",""," Анжелика Василевская. Также в Гродно задержана наша коллега Ольга Комягина.","","","","","","","","","","","","","","","","","",""
"","","","1950","message","2020-08-09T14:56:09","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","В Гродно также задержаны журналисты Александр Саенко, Алексей Кайрис, Сергей Людкевич","","","БАЖ / BAJ","","","","","","","","","","","","",""
"","","","1951","message","2020-08-09T15:22:07","Вясна / Правы чалавека ў Беларусі","9636739710","Затрымалі актывіста Паўла Вінаградава.","","","","","Белсат","","","","","","","","","","","","",""
"","","","1952","message","2020-08-09T15:26:54","Вясна / Правы чалавека ў Беларусі","9636739710","Затрыманы Стась Івашкевіч,  журналіст «Белсату».","","","","","Белсат","(File not included. Change data exporting settings to download.)","1080","1080","","","","","","","","","",""
"","","","1953","message","2020-08-09T15:28:15","Вясна / Правы чалавека ў Беларусі","9636739710","Нам паведамляюць, што АМАП выкарыстоўвае света-шумавыя гранаты і слезацечны газ каля гасцініцы ""Юбілейная"" ў Мінску. Ёсць параненыя.","","","","","","","","","","","","","","","","","",""
"","","","1954","message","2020-08-09T15:34:43","Вясна / Правы чалавека ў Беларусі","9636739710","Па паведамленні ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","",""
"","","","","","","","",", на ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","ўчастку №51","","","","","","","","","","","","","","","",""
"","","","","","","",""," Кастрычніцкага раёна Мінска \n❌Лукашэнка набраў 394 голаса\n✔️ Ціханоўская – 1226 галасоў\n\nНа ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","ўчастку №37","","","","","","","","","","","","","","","",""
"","","","","","","",""," Першамайскага раёна Мінска\n❌Лукашэнка – 297 галасоў\n✔️Ціханоўская – 848 галасоў\n\nПа інфармацыі назіральнікаў кампаніі ""Праваабаронцы за свабодныя выбары"" на","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold"," ўчастку № 105","","","","","","","","","","","","","","","",""
"","","","","","","",""," участок Шчомысліца.\n❌Лукашэнка – 338 галасоў\n✔️Ціханоўская – 560 галасоў\n\nА ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","на суседнім","","","","","","","","","","","","","","","",""
"","","","","","","",""," участку \n❌Лукашэнка – 335 галасоў\n✔️Ціханоўская – 666 галасоў","","","","","","","","","","","","","","","","","",""
"","","","1955","message","2020-08-09T15:58:28","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","На проспект Машерова приехал начальник минского ОМОНа Дмитрий Балаба, он стоит посреди дороги. ","","","TUT.BY новости","","","","","","","","","","","","",""
"","","","","","","","","На улице Машерова с двух сторон выстроили автозаки. Возле переходов кучкуются люди.\n\nВ какой-то момент журналисты увидели на дороге сидящего человека, у него на спине надпись «Пресса». Мужчина держался за голову, вокруг стояли силовики. Позже мужчина лег на газон, потом его взяли под руки и увели за автозаки, так как он не мог идти сам.","","","","","","","","","","","","","","","","","",""
"","","","1956","message","2020-08-09T16:09:46","Вясна / Правы чалавека ў Беларусі","9636739710","⚡️ ","","","","","Euroradio","","","","","","","","","","","","",""
"","","","","","","","","","bold","Мінск.","","","","","","","","","","","","","","","",""
"","","","","","","",""," Аўтазак уехаў у натоўп пратэстоўцаў. Карэспандэнт Еўрарадыё перадае, што кіроўца аўтазака, найхутчэй, хацеў напужаць людзей і рухаўся на іх з вялікай хуткасцю.\n\nАдзін з пратэстоўцаў заскокнуў на бампер аўтазака. Той пачаў віхляць управа-ўлева. Чалавек упаў пад колы, яго ледзь не задавіла.","","","","","","","","","","","","","","","","","",""
"","","","1958","message","2020-08-09T16:19:05","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","! Еврорадио: Избит фотограф Associated Press Мстислав Чернов. Его забирает скорая","","","БАЖ / BAJ","","","","","","","","","","","","",""
"","","","1959","message","2020-08-09T16:31:35","Вясна / Правы чалавека ў Беларусі","9636739710","У Віцебску працягваюцца затрыманьні\n\nУ Віцебску маніфэстанты засталіся толькі на Маскоўскім праспэкце. Людзі ідуць па ходніках. Працягваюцца затрыманьні. Аўтазакі едуць па праспэкце, спыняюцца, затрымліваюць людзей, саджаюць у аўтазак, едуць далей. Затрыманых каля 10 чалавек.","","","","","Радыё Свабода — Беларусь","","","","","","","","","","","","",""
"","","","1960","message","2020-08-09T16:50:29","Вясна / Правы чалавека ў Беларусі","9636739710","В Минске силовики стреляют по протестующим резиновыми пулями, передает корреспондент «МБХ медиа». Есть раненные в ноги.","","","","","Выборы видишь? | TUT.BY Политика","","","","","","","","","","","","",""
"","","","1961","message","2020-08-09T17:04:43","Вясна / Правы чалавека ў Беларусі","9636739710","СВЯТЛОШУМАВАЯ ГРАНАТА ТРАПІЛА Ў ГРУДЗІ ДЭМАНСТРАНТУ РАМАНУ ЗАЙЦАВУ НА ПРАСПЕКЦЕ МАШЭРАВА Ў МІНСКУ, ПЕРАДАЕ КАРЭСПАНДЭНТ НАШАЙ НІВЫ. Яго забрала хуткая дапамога.","","","","","Наша Нiва","","","","","","","","","","","","",""
"","","","1962","message","2020-08-09T17:05:26","Вясна / Правы чалавека ў Беларусі","9636739710","Корреспондент «МБХ Медиа» Александр Скрыльников контужен при взрыве светошумовой гранаты в Минске. Он сообщил, что плохо видит, у него болят уши.","","","","","Выборы видишь? | TUT.BY Политика","","","","","","","","","","","","",""
"","","","1963","message","2020-08-09T17:06:29","Вясна / Правы чалавека ў Беларусі","9636739710","У Бабруйску затрыманымі дэманстрантамі наладавалі чатыры аўтазакі\n\nУ 22.00 у Бабруйску АМАП пачаў зачыстку плошчы Леніна. Людзей пачалі адціскаць у бок гандлёвых кварталаў.\n\nУ 22.55 многіх пратэстоўцаў затрымалі і павезьлі ў чатырох аўтазаках.\n\nУ 23.35 АМАП разагнаў рэшту пратэстоўцаў каля гандлёвага цэнтру Вестар. Чатыры цэнтральныя вуліцы гораду перакрытыя.","","","","","Радыё Свабода — Беларусь","","","","","","","","","","","","",""
"","","","1964","message","2020-08-09T17:11:31","Вясна / Правы чалавека ў Беларусі","9636739710","❗️А мы нагадваем: Калі вас ці вашых блізкіх затрымалі, паведамляйце нам праз тэлеграм-бот ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@viasna_bot","","","","","","","","","","","","","","","",""
"","","","","","","",""," ці на гарачую лінію:\n\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+375 29 543 38 66","","","","","","","","","","","","","","","",""
"","","","","","","",""," (у тым ліку Viber),\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@ViasnaSOS","","","","","","","","","","","","","","","",""
"","","","","","","",""," - тэлеграм.\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+ 375 17 377 55 40","","","","","","","","","","","","","","","",""
"","","","","","","","","\n\nСпісы затрыманых на сайце ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","spring96.org","","","","","","","","","","","","","","","",""
"","","","","","","",""," і ў табліцах: ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://t.me/viasna96/1935","","","","","","","","","","","","","","","",""
"","","","1965","message","2020-08-09T17:58:23","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","В Витебске задержаны журналисты Дмитрий Казакевич, Вячеслав Лазарев и Игорь Матвеев.","","","БАЖ / BAJ","","","","","","","","","","","","",""
"","","","1966","message","2020-08-09T18:04:34","Вясна / Правы чалавека ў Беларусі","9636739710","Как сообщают нам читатели, ","","","","","Выборы видишь? | TUT.BY Политика","","","","","","","","","","","","",""
"","","","","","","","","","bold","в Жодино","","","","","","","","","","","","","","","",""
"","","","","","","",""," тоже были массовые задержания. По их словам, около местного исполкома собрались около тысячи человек, их стал оттеснять ОМОН.\n\nСначала людей через громкоговорители предупреждали о необходимости разойтись, затем милиционеры сложили щиты и стали догонять и задерживать людей.","","","","","","","","","","","","","","","","","",""
"","","","1967","message","2020-08-09T18:10:13","Вясна / Правы чалавека ў Беларусі","9636739710","🔊 На 1:00 ""Вясны"" вядомыя прозвішчы больш за 1️⃣2️⃣0️⃣ затрыманых у сталіцы і рэгіёнах на працягу 9 жніўня.","","","","","","","","","","","","","","","","","",""
"","","","1968","message","2020-08-09T19:16:26","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Мінск. ","","","Euroradio","","","","","","","","","","","","",""
"","","","","","","","","На ўчастку №61 у Маскоўскім раёне ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Святлана Ціханоўская","","","","","","","","","","","","","","","",""
"","","","","","","",""," набрала 880 галасоў, ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Аляксандр Лукашэнка","","","","","","","","","","","","","","","",""
"","","","","","","",""," — 305. Камісія лічыла галасы да гадзіны ночы. І выйшла — у суправаджэнні міліцыянера — пад авацыі прысутных.","","","","","","","","","","","","","","","","","",""
"","","","1969","message","2020-08-10T01:25:08","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Стало известно, что в Глубоком (Витебская область) вчера был задержан журналист Дмитрий Лупач. Сегодня суд.","","","БАЖ / BAJ","","","","","","","","","","","","",""
"","","","1970","message","2020-08-10T02:43:34","Вясна / Правы чалавека ў Беларусі","9636739710","❗️❗️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","У Мінску загінуў адзін з удзельнікаў акцыі пратэсту, якая праходзіла ўвечары і ноччу з 9 на 10 жніўня","","","","","","","","","","","","","","","",""
"","","","","","","","",".\n\nМалады чалавек атрымаў чэрапна-мазгавую траўму, несумяшчальную з жыццём у выніку наезда на яго спецтэхнікі на прашпекце Пераможцаў.\n\nУ мінскіх лякарнях знахдзяцца дзясяткі пацярпелых падчас акцыі. Вядома, што два аддзяленні вайсковага шпіталі заняты параненымі. Таксма пацярпелыя знаходзяцца ў Бальніцы хуткай медычнай дапамогі і ў 6 бальніцы Мінска.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://spring96.org/be/news/98921","","","","","","","","","","","","","","","",""
"","","","1971","message","2020-08-10T02:58:26","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","❗️Па стане на 10.00 10 жніўня ""Вясне"" вядома пра як мінімум 213 затрыманых па Беларусі за 9 жніўня.\n\n","2020-08-13T04:34:11","","","","","","","","","","","","","","",""
"","","","","","","","","▪️З іх больш за 110 у Мінску: больш за 40 на ці каля выбарчых участкаў  (большасць з іх назіральнікі), больш за 70 - падчас акцыі пратэсту. \n▪️У рэгіёнах затрыманы больш за 15 назіральнікаў, таксама ўдзельнікі акцый і журналісты ў Гомелі, Баранавічах, Гродне, Віцебску, Магілёве, Маладзечне, Шчучыне, Бабруйску, Мядзелі, Полацку і іншых гарадах.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","❗️Мы разумеем, што гэта далёка не поўны спіс. Таму калі","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","вашых блізкіх затрымалі, спрабуйце паведаміць нам праз тэлеграм-бот @viasna_bot","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","ці па","","","","","","","","","","","","","","","",""
"","","","","","","",""," гэтых кантактах:\n\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@ViasnaSOS","","","","","","","","","","","","","","","",""
"","","","","","","",""," - тэлеграм (можна тэлефанаваць)\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","+ 375 29 543 38 66\n","","","","","","","","","","","","","","","",""
"","","","","","","","","▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","+ ","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","(017) 394 63 11\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Спіс затрыманых у Мінску:","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
