"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__width","messages__height","messages__text","messages__photo","messages__forwarded_from","messages__text__type","messages__text__text","messages__text__href","messages__reply_to_message_id","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen"
"","","","10184","message","2020-09-01T08:55:50","","NEXTA Live","10003210496","","","","","","1280","960","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10185","message","2020-09-01T08:56:30","","NEXTA Live","10003210496","","","","","","","","Почти всех задержанных утром на площади Победы студентов отпустили!","","","","","","","","","","","","","","","",""
"","","","10186","message","2020-09-01T09:00:49","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","41","1080","1920","Гоблины винтят пожилую женщину на Городском Валу в Минске. Что к чему?!","","","","","","","","","","","","","","","",""
"","","","10187","message","2020-09-01T09:04:36","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","30","1280","720","Футболисты «Крумкачоў» вышли на поле в майках с надписью «Мы супраць гвалту».","","TUT.BY новости","","","","","","","","","","","","","",""
"","","","10188","message","2020-09-01T09:08:49","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","46","480","854","Студенты устроили старый-добрый прорыв гоблинского оцепления!","","","","","","","","","","","","","","","",""
"","","","10189","message","2020-09-01T09:10:46","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","33","856","482","Пасля стартавага свістку гульцы ""Крумкачоў"" аддалі мяч супернікам і проста сталі пляскаць у ладкі. Гэта працягвалася 100 секунд, пасля чаго гульня аднавілася.\n\n","","Наша Нiва","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","mention","@nashaniva","","","","","","","","","","","",""
"","","","10190","message","2020-09-01T09:11:44","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","44","1280","720","Ещё одно видео того, как небольшая группа студентов спокойно прорывает милицейское оцепление!\n\nКрасавцы!","","","","","","10188","","","","","","","","","",""
"","","","10191","message","2020-09-01T09:15:10","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","12","480","854","Мария Колесникова пришла на игру «Крумкачоў».","","","","","","","","","","","","","","","",""
"","","","10192","message","2020-09-01T09:18:18","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","67","720","1280","Пара сотен студентов устроила движ покруче, чем на многотысячных акциях. Напролом сквозь ментов и только вперёд!","","","","","","","","","","","","","","","",""
"","","","10193","message","2020-09-01T09:19:03","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","13","854","480","На улице Свердлова ОМОН выбежал за студентами. Одного студента задержали. В ответ на задержание  кричали ""Смелые против детей!""\n\nВидео: «Медиазона»","","Медиазона. Беларусь","","","","","","","","","","","","","",""
"","","","10194","message","2020-09-01T09:22:59","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","43","720","1280","","","","bold","Начало жёстких задержаний на Свердлова!","","10193","","","","","","","","","",""
"","","","10195","message","2020-09-01T09:28:03","","NEXTA Live","10003210496","","","","","","","","Задержания продолжаются на улице Кирова, а также возле стадиона Динамо!","","","","","","","","","","","","","","","",""
"","","","10196","message","2020-09-01T09:28:49","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","18","720","1280","Задержания около стадиона «Динамо» в Минске","","","","","","","","","","","","","","","",""
"","","","10197","message","2020-09-01T09:29:26","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","6","848","464","Ещё одно грубое задержание студента возле стадиона!","","","","","","10196","","","","","","","","","",""
"","","","10198","message","2020-09-01T09:39:42","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","27","720","1280","Около «Динамо» людей начали задерживать прямо из толпы","","Onliner","","","","","","","","","","","","","",""
"","","","10199","message","2020-09-01T09:45:21","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","24","1920","1080","Студент, которому удалось убежать от ОМОНа, в шоковом состоянии. Его пытаются успокоить.","","Кулуары KYKY","","","","","","","","","","","","","",""
"","","","10200","message","2020-09-01T09:50:11","","NEXTA Live","10003210496","","","","","","703","703","Еще один протест возле лицея БГУ.","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
