"name","type","id","messages__id","messages__type","messages__date","messages__actor","messages__actor_id","messages__action","messages__title","messages__text","messages__members__-","messages__from","messages__from_id","messages__text__type","messages__text__text","messages__reply_to_message_id","messages__photo","messages__width","messages__height","messages__file","messages__mime_type","messages__edited","messages__forwarded_from","messages__message_id","messages__text__href","messages__thumbnail","messages__text__user_id","messages__media_type","messages__sticker_emoji","messages__duration_seconds","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen"
"","","","","","","","","","","","","","","link","https://honest-people.by/deputy-search/","","","","","","","","","","","","","","","","","","","","",""
"","","","70","message","2020-08-25T02:48:24","","","","","Так, получается, эта карта не совпадает с информацией на сайте честных людей \nПо честным людям у меня этот 102 округ, по карте - 103 🤔","","Olga Ilyina","4558799144","","","66","","","","","","2020-08-25T02:48:43","","","","","","","","","","","","","",""
"","","","71","message","2020-08-25T02:48:31","","","","","Я по карте нашла, которую скинули) к 102 отношусь, так что совпало) спасибо","","Ktr","4784012376","","","","","","","","","","","","","","","","","","","","","","",""
"","","","72","message","2020-08-25T02:48:54","","","","","я не знаю тогда, это карта с оф сайта цик","","Вероника","4762492759","","","70","","","","","","","","","","","","","","","","","","","",""
"","","","73","message","2020-08-25T02:48:58","","","","","вот и я не знаю что делать) могли округа поменять","","Ktr","4784012376","","","70","","","","","","","","","","","","","","","","","","","",""
"","","","74","message","2020-08-25T02:49:43","","","","","А здесь посмотрите ?)","","Tatsiana","4721594006","","","","","","","","","","","","","","","","","","","","","","",""
"","","","75","message","2020-08-25T02:49:44","","","","","","","Tatsiana","4721594006","link","https://minsknews.by/reshenie-administraczii-frunzenskogo-rajona-g-minska-ot-13-sentyabrya-2019-goda-%E2%84%96-860/amp/","","","","","","","","","","","","","","","","","","","","",""
"","","","76","service","2020-08-25T02:51:25","A","5387147343","invite_members","","","A","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","77","message","2020-08-25T02:51:39","","","","","А здесь у меня 102))","","Olga Ilyina","4558799144","","","74","","","","","","","","","","","","","","","","","","","",""
"","","","78","message","2020-08-25T02:51:44","","","","","по этой ссылке у меня получается 101))","","Вероника","4762492759","","","","","","","","","","","","","","","","","","","","","","",""
"","","","79","message","2020-08-25T02:51:56","","","","","вот нарочно все делают, чтоб людям было сложнее","","Вероника","4762492759","","","","","","","","","","","","","","","","","","","","","","",""
"","","","80","message","2020-08-25T02:51:56","","","","","и  у меня 101","","Ktr","4784012376","","","","","","","","","","","","","","","","","","","","","","",""
"","","","81","message","2020-08-25T02:52:27","","","","","но и по честным людям у меня 101 получается","","Ktr","4784012376","","","","","","","","","","","","","","","","","","","","","","",""
"","","","82","message","2020-08-25T02:52:34","","","","","тогда подъехать лично в администрацию района и получить списки","","The Show Must Go On","5414624234","","","","","","","","","","","","","","","","","","","","","","",""
"","","","83","message","2020-08-25T02:52:39","","","","","там старовойтова некая )","","Ktr","4784012376","","","","","","","","","","","","","","","","","","","","","","",""
"","","","84","message","2020-08-25T02:53:18","","","","","Кажется это старая карта","","Olga Ilyina","4558799144","","","66","","","","","","","","","","","","","","","","","","","",""
"","","","85","message","2020-08-25T02:53:25","","","","","тем более это 2019 год","","The Show Must Go On","5414624234","","","","","","","","","","","","","","","","","","","","","","",""
"","","","86","message","2020-08-25T02:54:21","","","","","Вот Старовойтова","","Tatsiana","4721594006","","","","","","","","","","","","","","","","","","","","","","",""
"","","","87","message","2020-08-25T02:54:21","","","","","","","Tatsiana","4721594006","link","http://house.gov.by/ru/deputies-ru/view/starovojtova-anna-620/","","","","","","","","","","","","","","","","","","","","",""
"","","","88","message","2020-08-25T02:54:35","","","","","эта информация будет точнее и актуальнее, т.к. выборы в депутаты Палаты Представителей были в 2019 году, а значит округа они не меняли с того времени","","Ktr","4784012376","","","75","","","","","","","","","","","","","","","","","","","",""
"","","","89","message","2020-08-25T02:56:41","","","","","","","Olga Ilyina","4558799144","link","http://www.rec.gov.by/ru/novosti/07-08-2019-karta-izbiratelnyh-okrugov","","","","","","","","","","","","","","","","","","","","",""
"","","","90","message","2020-08-25T02:56:59","","","","","Там открывается карта, на которой нужно включить слой с округами по выборам в палату представителей","","Olga Ilyina","4558799144","","","","","","","","","","","","","","","","","","","","","","",""
"","","","91","message","2020-08-25T02:59:16","","","","","Попробуем сравнит даты двух карт, мне кажется полагаться стоит на более новую","","AY","4700022086","","","77","","","","","","","","","","","","","","","","","","","",""
"","","","92","service","2020-08-25T03:01:37","Ab Hdoc","4568840241","remove_members","","","Ab Hdoc","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","93","message","2020-08-25T03:05:42","","","","","получается, что у меня Старовойтова)) останусь пока тут для массовости","","Вероника","4762492759","","","","","","","","","","","","","","","","","","","","","","",""
"","","","94","message","2020-08-25T03:15:27","","","","","пример отредктированного заявления","","Tatsiana","4721594006","","","","","","","(File not included. Change data exporting settings to download.)","application/vnd.openxmlformats-officedocument.wordprocessingml.document","","","","","","","","","","","","","","",""
"","","","95","message","2020-08-25T03:27:20","","","","","Там есть опечатка","","Matroshka","5129084850","","","94","","","","","","","","","","","","","","","","","","","",""
"","","","96","message","2020-08-25T03:27:51","","","","","","","Matroshka","5129084850","","","","(File not included. Change data exporting settings to download.)","590","1280","","","","","","","","","","","","","","","","",""
"","","","97","message","2020-08-25T03:28:58","","","","","Я думаю можно ещё добавить, не только то, что касается выборов.","","Matroshka","5129084850","","","","","","","","","","","","","","","","","","","","","","",""
"","","","98","message","2020-08-25T03:31:33","","","","","спасибо) отредакьтировала","","Tatsiana","4721594006","","","95","","","","","","","","","","","","","","","","","","","",""
"","","","100","message","2020-08-25T03:37:57","","","","","🔷 Как найти своего депутата по точному адресу:\n1) Заходим по ссылке ","","Alena","4729346611","","","99","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","link","https://honest-people.by/deputy-search/","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","\n2) Выбираем город, район, улицу.\n\n❕❗❕Если сайт недоступен, включаем VPN (Psiphon и т.п.)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","101","message","2020-08-25T03:39:55","","","","","спс","","The Show Must Go On","5414624234","","","100","","","","","","","","","","","","","","","","","","","",""
"","","","102","service","2020-08-25T03:52:22","Pavel","4399530844","invite_members","","","Pavel","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","103","message","2020-08-25T03:52:47","","","","","1. Насколько реализована инициатива по созданию спортивно оздоровительного комплекса на территории 102 района?\n2. Насколько реализована инициатива по благоустройству лесопарка Межвежино?\n3. Насколько реализована заявление о содействии в капитальном ремонте домов и благоустройстве прилежащих к нему территорий?\n4. В предвыборном заявлении сообщалось об инициативе по постройке 2-ух новых школ и 2-х новых детских садов, какой статус по данной инициативе?\n5. Каким образом реализовано заявление о создании в округе безбарьерной среды (насколько мы понимаем под безбарьерной средой подразумевается необходимая инфраструктура для свободного передвижения людей с ограниченными возможностями)?\n6. В предвыборной программе было заявлена инициатива о создании бесплатной консультации для малообеспеченных семей, а также о юридической поддержке для женщин, пострадавших от домашнего насилия. Каким образом было реализовано данное предвыборное обещание?\n По всем перечисленным пунктам прошу вас дать комментарии, было ли или нет реализовано что-либо из предвыборной программы, озвученной депутатом? Если нет, то мы можем перефразировать данные вопросы в утверждения и добавить вопросы, которые не были реализованы, в заявление. ","","AY","4700022086","","","97","","","","","","2020-08-25T03:56:07","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","mention","@Koshka_matroshka","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","mention","@tatsianaBelikova","","","","","","","","","","","","","","","","","","","","",""
"","","","104","message","2020-08-25T03:54:02","","","","","Давайте еще отредактируем приложение, чтобы табличка была на большее кол-во строк на листе и кажды лист начинался ис ""Приложение к жалобе избирателей на ответ местного совета депутатов"" - таким образом потом можно будет допечатать листы для новых подписей.","","AY","4700022086","","","98","","","","","","","","","","","","","","","","","","","",""
"","","","105","message","2020-08-25T03:54:11","","","","","а ещё про воду, когда она станет артезианской)","","The Show Must Go On","5414624234","","","","","","","","","","","","","","","","","","","","","","",""
"","","","106","message","2020-08-25T03:54:25","","","","","не видела","","AY","4700022086","","","105","","","","","","","","","","","","","","","","","","","",""
"","","","107","message","2020-08-25T03:54:37","","","","","это у нее в программе, может я что-то пропустила","","AY","4700022086","","","","","","","","","","","","","","","","","","","","","","",""
"","","","108","message","2020-08-25T03:55:08","","","","","","","AY","4700022086","link","https://youtu.be/QKq1RExaDK0","105","","","","","","","","","","","","","","","","","","","",""
"","","","109","service","2020-08-25T03:56:40","Дзяніс","5106437580","invite_members","","","Дзяніс","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","110","message","2020-08-25T04:09:03","","","","","","","AY","4700022086","","","","","","","(File not included. Change data exporting settings to download.)","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2020-08-25T05:59:05","","","","","","","","","","","","","",""
"","","","111","message","2020-08-25T04:09:26","","","","","","","AY","4700022086","mention","@tatsianaBelikova","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","",""," листы 7 и 5 можно будет печать в большем кол-ве.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","112","service","2020-08-25T04:09:27","The Show Must Go On","5414624234","invite_members","","","Dmitry","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","113","service","2020-08-25T04:09:27","The Show Must Go On","5414624234","invite_members","","","Kate Korotkevich","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","114","service","2020-08-25T04:09:27","The Show Must Go On","5414624234","invite_members","","","Мариша Царун (Станкевич)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","115","message","2020-08-25T04:10:07","","","","","👍👍👍","","Tatsiana","4721594006","","","111","","","","","","","","","","","","","","","","","","","",""
"","","","116","message","2020-08-25T04:11:16","","","","","Давайте сначала наверное зафиналим версию обращения. Будем ли включать туда пункты, не касающиеся выборов, и если да, то какие - т.е. только те, что действительно не были реализованы.","","AY","4700022086","","","","","","","","","","","","","","","","","","","","","","",""
"","","","117","message","2020-08-25T04:13:15","","","","","❓","","Ты","4539051953","","","","","","","","","","Честные люди","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","bold","А вы вообще нас представляете?\n⠀\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","Этот вопрос очень xочется задать нашим законным «избранникам» из Палаты представителей.\n⠀\nС одной стороны, большая часть депутатов после 9 августа предпочитает отмалчиваться. С другой – речи тех, кто продолжает высказываться, не могут не пугать. И пока никто не осмелился публично осудить преступления силовиков и потребовать законного разбирательства по фальсификациям выборов.\n⠀\nНужны ли нам такие депутаты? Стоит ли оставить им шанс перейти на сторону народа или мы однозначно не можем им доверять? Решать вам!\n⠀\n*Честные люди запускают новый проект по контролю за нашими депутатами. В рамкаx ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","hashtag","#ВыНасДажеНеПредставляете","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","",""," мы призываем немедленно начать процедуру отзыва депутата своего округа, оставив за собой право приостановить этот процесс в случае, если депутат наконец начнет слышать своиx избирателей и предпримет конкретные действия в защиту их интересов.\n⠀\n👉","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","bold","Краткая инструкция","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","",":\n⠀\n1️⃣ ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","bold","Подать заявление на созыв собрания избирателей","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","",".\nЗаявление должно быть подписано минимум 150 избирателями соответствующего округа. Мы подготовили для вас вариант такого заявления. Чтобы получить готовое заявление на почту, найдите своего депутата здесь: ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","link","https://honest-people.by/deputy-search/","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","\n⠀\n2️⃣ ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","bold","Получить ответ на заявление.\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","Срок для ответа - 13 дней. Ответ может быть: положительный – депутаты назначат собрание (определят дату, время, место) или МОТИВИРОВАННЫЙ отказ.\nПолученные отказы присылайте, пожалуйста, нам на почту: ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","email","honestpeople202020@gmail.com","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","",". Отказ можно будет обжаловать в районном/городском суде в течение 3 дней.\nВвиду возможных отказов рекомендуем вам собирать подписи избирателей в 2 экземплярах - для заявления и для обжалования отказа.\n⠀\n3️⃣ ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","bold","Уведомить о собрании.\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","Уведомить нужно депутата, которого предполагается отозвать, и Палату представителей о дате, времени, месте проведения собрания избирателей и мотивах предполагаемого отзыва депутата.\nУведомления должны быть направлены заказными письмами (обязательно сделать их копии) с уведомлением (которые нужно будет сохранить) в срок минимум за 10 дней до даты собрания.\n⠀\n4️⃣ ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","bold","Провести собрание избирателей.\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","Число участников собрания - минимум 300 избирателей округа.\nНа собрании нужно:\n- выслушать депутата, задать ему интересующие вопросы\n- проголосовать за или против отзыва депутата\n- образовать инициативную группу по сбору подписей (минимум 5 человек)\n- выбрать руководителя инициативной группы.\n⠀\n5️⃣ ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","bold","Направить в ЦИК документы для регистрации инициативной группы:\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","- протокол собрания\n- список участников собрания\n- список членов инициативной группы\n- копия письма-уведомления депутата о собрании\n- копия уведомления о получении заказного письма депутатом.\n⠀\n6️⃣ ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","bold","Регистрация инициативной группы в ЦИК.\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","Срок для ответа ЦИК – 15 дней. После регистрации нужно получить свидетельства ЧИГ, подписные листы для сбора подписей.\n⠀\n7️⃣ ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","bold","Собрать подписи об отзыве депутата.\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","Нужно собрать подписи минимум 20% избирателей округа (около 12-14 тыс. подписей). Срок для сбора подписей – 45 дней.\n⠀\n8️⃣ ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","bold","Сдать подписи в областные/городские советы депутатов для проверки.\n","","","","","","","","","","","","","","","","","","","","",""
